守护者联盟
黑暗  Darkness.
我知道这是怎么回事了 你们都扎堆结伙  I see how it is. All working together
让我这兔子远远落后  to make sure the rabbit gets last place.
你觉得我打败个兔子还需要帮助？  You think I need help to beat a bunny?
看好了 绒绒尾巴  Check it out,Peter Cottontail.
你这算一袋牙？  You call that a bag of choppers?
这才算是一袋子牙  Now that's a bag of choppers.
兄弟们 兄弟们 牙牙才是中心  Gentlemen,gentlemen. This is about Tooth.
又不是竞争  It's not a competition.
但如果是的话 我赢了  But if it was,I win!
哦 不是吧  Oh,no.
圣诞老人？  Santa Claus?
复活节兔子？  The Easter Bunny?
沙人？  Sandman?
牙仙 我就知道你们会来  The Tooth Fairy! I knew you'd come!
惊喜吧 我们来了  Surprise! We came.
他能看到我们？  He can see us?
我们大多数吧  Most of us.
兄弟们 他还醒着呢  You guys,he's still awake.
沙沙 让他睡过去  Sandy,knock him out.
用梦沙啊 你个呆货  With the Dreamsand,you gumbies!
别 停下 那是复活节兔子  No,stop! That's the Easter Bunny!
你干什么呢 阿比？退下  What are you doing,Abbey? Down!
好吧 都别慌  All right,nobody panic.
但这是灵缇  But that's a greyhound.
你知道灵缇会怎么处理兔子吗？  Do you know what greyhounds do to rabbits?
保守估计 它绝对没见过我这样的兔子  I think it's a pretty safe bet he's never met a rabbit like me.
1.85米  Six-foot-one,
铁胆雄心  nerves of steel.
太极高手  Master of tai-chi and the ancient art of...
哎哟  Crikey!
停下 坐下  Stop! Sit!
退下 退下  Down,girl,down!
沙沙  Sandy!
她有狂犬病 把这疯狗从我身上拉开  She's rabid! Get this dingo off me!
哦 不是吧  Oh,no.
糖果棒  Candy canes...
真希望我现在能拍下来  I really wish I had a camera right now.
沙沙 快 我们能找到夜魔  Sandy,come on! We can find Pitch!
真漂亮  Pretty.
兔子 跳 跳 跳  Bunny,hop,hop,hop!
什么  What...
好  Yes!
抓到了  I got it.
沙沙  Sandy!
沙沙 看到没？  Sandy,did you see that?
看看这东西  Look at this thing.
福斯特？  Frost?
你看 作为一个中立的人  You know,for a neutral party,
你跟这群怪胎混的时间还真长  you spend an awful lot of time with those weirdos.
这不是你的战争 杰克  This isn't your fight,Jack.
你偷走那些牙的时候就已经是我的战争了  You made it my fight when you stole those teeth!
牙齿？你为什么关心那些牙齿？  Teeth? Why do you care about the teeth?
这才是我要找的  Now this is who I'm looking for.
记得别让我去惹你  Remind me not to get on your bad side.
好了 慢点 你不能不让我试试 沙沙  Okay,easy. You can't blame me for trying,Sandy.
你根本不了解变得软弱 被痛恨是什么样子  You don't know what it's like to be weak and hated.
我太愚蠢了 去戏弄你的美梦  It was stupid of me to mess with your dreams.
好吧 跟你说  So,I'll tell you what.
你可以把他们拿回去了  You can have them back.
你解决左边那些  You take the ones on the left,
我来解决右边那些  I'll take the ones on the right?
上啊  Come on!
该低头了  You might want to duck.
我们得去帮帮沙沙  We've got to help Sandy!
不  No!
杰克  Jack!
别与恐惧对抗 小矮子  Don't fight the fear,little man!
快 快 杰克  Hurry! Hurry,Jack!
本该说"好梦" 但那已不复存在了  I'd say "sweet dreams," but there aren't any left.
沙沙？  Sandy?
不会的  No!
杰克  Jack!
杰克 你从哪里学的？  Jack,how did you do that?
我都不知道我有这能力  I didn't know I could.
终于  Finally!
总算变的有趣了  Someone who knows how to have a little fun!
你还好吧？  Are you all right?
我  I just...
我真希望我能干点什么  I wish I could've done something.
干点什么？  Done something?
杰克 你对抗了夜魔 你救了我们  Jack,you stood up to Pitch. You saved us!
但是沙沙  But Sandy...
他会为你感到骄傲的  Would be proud of what you did.
我不知道你曾经是谁  I don't know who you were in your past life.
但现在 你是一个守护者  But in this life,you are Guardian.
但我不知道我过去是谁 又怎么知道我现在是谁？  But how can I know who I am until I find out who I was?
你会的  You Will.
我能感觉到  I feel it
直觉  in my belly.
看这光熄灭的多快  Look how fast they're going out.
是恐惧  It's fear.
他颠覆了平衡  He's tipped the balance.
嘿 振作点 苦瓜脸  Hey,buck up,you sad sacks!
我们能改变这一切  We can still turn this around!
明天是复活节  Easter is tomorrow.
我需要你们的帮助 停下这一切  And I need your help. I say we pull out all the stops
让后让这光重新闪烁  and we get those little lights flickering again.
兔子说的对  Bunny is right.
尽管我很不情愿这么说 老朋友  As much as it pains me to say,old friend,
但这次复活节比圣诞节更重要  this time,Easter is more important than Christmas.
嘿 大伙都听到了么？  Hey,did everyone hear that?
我们必须赶紧去兔洞 所有人 上雪橇  We must hurry to the warren. Everyone! To the sleigh!
别 伙计 我的兔洞我做主 系好安全带  Oh,no,mate. My warren,my rules. Buckle up.
苍天大神  Shostakovich!
"系好安全带 "很搞嘛  "Buckle up." ls very funny.
欢迎来到兔洞  Welcome to the warren.
不太对劲  Something's up.
苏菲？  Sophie?
- 精灵 精灵 精灵 - 她在这干什么？  - Elf,elf,elf! - What is she doing here?
雪花玻璃球  Snow globe.
哎哟 快来人管管  Crikey! Somebody do something.
别看我 我是隐形的 还记得不？  Don't look at me. I'm invisible,remember?
精灵 精灵  Elf! Elf!
别担心 兔子 我敢说她是仙女粉  Don't worry,Bunny. I bet she's a fairy fan.
- 没事了 小孩子 - 真漂亮  - It's okay,little one. - Pretty.
猜猜看？我有东西给你  You know what? I've got something for you!
这儿  Here it is!
看看这些漂亮的牙齿  Look at all the pretty teeth,
上面还有血和牙龈呢  with little blood and gum on them!
血和牙龈？  Blood and gums?
你们不经常跟小孩子打交道吧？  When was the last time you guys actually hung out with kids?
看- 不- 见  Peek-a-boo!
我们忙着把欢乐带给孩子们  We are very busy bringing joy to children.
我们没时间  We don't have time...
来理孩子们  For children.
如果一个小孩子就能毁掉复活节  If one little kid can ruin Easter,
那我们比想象的还要弱啊  then we're in worse shape than I thought.
你想去画蛋蛋吗？好？  You want to paint some eggs? Yeah?
- 好 - 来吧  - Okay. - Come on.
我勒个去  Rimsky-Korsakov!
这么多蛋蛋  That's a lot of eggs.
我们还有多久？  How much time do we have?
好了 兄弟们 该反击了  All right,troops,it's time to push back.
让蛋蛋补满天下  That means eggs everywhere!
布满所有的山丘  Heaps of you in every high-rise,
农场 游乐园  farmhouse,and trailer park!
网球鞋和燕麦碗里也要有  In tennis shoes and cereal bowls.
哦 用我漂亮的蛋蛋填满澡盆  Oh,there will be bathtubs filled with my beautiful googies!
好吧 这有点怪异  Okay,that's a little strange.
不 伙计  No,mate.
这叫可爱  That's adorable.
春天来了 来到每个大陆  There will be springtime! On every continent!
我将带着希望来  And I'm bringing hope with me!
太圣诞节了点 伙计 染成蓝的  Too Christmas-y,mate. Paint them blue.
那是什么？  What's over there?
这才叫美  That's a beauty!
现在 我们只需要把他和他的小伙计们  Now,all we got to do is get him and his little mates
带过隧道 带到上面去  through the tunnels to the top
我们就能欢欢喜喜过复活节了  and we'll have ourselves Easter.
不坏  Not bad.
你也不坏  Not bad yourself.
哎 我很抱歉  Look,I'm sorry about the whole...
叫你袋子鼠  You know,the kangaroo thing.
因为我的澳洲口音 是吧？  It's the accent,isn't it?
可爱的甜心小蜜糖 累的睡着了  Poor little ankle-biter. Look at her. All tuckered out.
我爱她  I love her.
是时候把她带回家了  I think it's time to get her home.
我带她回去怎么样？  How about I take her home?
- 杰克 别 夜魔在 - 别争了  - Jack,no. Pitch is... - No match for this.
我们需要你跟我们在这  Which is why we need you here with us.
相信我 我会像兔子一样快的  Trust me. I'll be quick as a bunny.
苏菲？是你吗？  Sophie? Is that you?
我们该回去了  We should get back.
杰克  Jack!
那声音 我记得那声音  That voice,I know that voice.
杰克  Jack!
杰克  Jack!
杰克  Jack!
别担心 还有时间呢  Don't worry,there's still time.
杰克？  Jack?
小牙仙 跟上  Baby Tooth,come on!
我得看看那到底是什么  I have to find out what that is.
小点声  Keep it down!
我很快就会把你带出去  I'm gonna get you out of here just as soon as...
杰克？  Jack?
杰克  Jack!
尽量  ...as I can.
在找什么？  Looking for something?
别害怕 杰克 我不会伤害你的  Don't be afraid,Jack. I'm not gonna hurt you.
害怕？我才不怕你  Afraid? I'm not afraid of you.
也许是 但你在害怕些什么  Maybe not. But you are afraid of something.
- 你觉得这样？- 我知道这样  - You think so,huh? - I know so!
我一直都知道  It's the one thing I always know.
人们最害怕的  People's greatest fears.
你最害怕人们永远不会相信你的存在  Yours is that no one will ever believe in you.
更糟糕的 你害怕你永远也不知道原因  And worst of all,you're afraid you'll never know why.
为什么？  Why you?
为什么你会被选中？  Why were you chosen to be like this?
好吧 别害怕  Well,fear not.
你的答案就在这里  For the answer to that is right here.
你想要他们吗 杰克？你的回忆？  Do you want them,Jack? Your memories?
你想要知道的一切 都在这个小盒子里  Everything you wanted to know,in this little box.
为什么你会落得这个下场？没人看的见你  Why did you end up like this? Unseen.
不能与任何人接触  Unable to reach out to anyone.
你迫切的想知道答案 想要带着  You want the answers so badly. You want to grab them
答案飞走 但你害怕  and fly off with them. But you're afraid
害怕其他守护者们的想法  of what the Guardians will think.
你害怕让他们失望  You're afraid of disappointing them.
好吧 让你死心一下  Well,let me ease your mind about one thing.
他们永远不会接受你  They'll never accept you. Not really.
住口  Stop it!
毕竟 你不是他们的一员  After all,you're not one of them.
你不知道我是谁  You don't know what I am.
我当然知道 你是杰克·福斯特  Of course I do! You're Jack Frost.
你走到哪 就留下一堆烂摊子  You make a mess wherever you go.
为什么 你现在就在闯祸  Why,you're doing it right now.
你做了些什么？  What did you do?
重要的是 杰克 你做了些什么？  More to the point,Jack,what did you do?
小牙仙  Baby Tooth!
复活节快乐 杰克  Happy Easter,Jack.
不  No.
一个蛋也没有  There aren't any eggs.
- 这儿什么都没有 - 我不玩了  - There's nothing here. - I give up.
- 他没来 - 我不明白  - He didn't come. - I don't understand.
也许他今年真的把他们藏的很好  Maybe he just hid them really well this year.
- 孩子们 嗨 - 我到处找遍了 什么都没有  - Kids,oi! - I checked everywhere. There's nothing.
当然有 有的  Yes,there is! There is!
我说 这些虽然不是最好看的蛋蛋  I mean,these aren't my best looking googies,
但也能管点用吧  but they'll do in a pinch.
真不敢相信了  I can't believe it.
我知道  I know.
根本就没有复活节兔子这回事  There's no such thing as the Easter Bunny.
什么？不  What? No.
错了 不是真的  Wrong! Not true!
- 我就在你面前 伙计 - 他为什么没来？  - I'm right in front of you,mate. - Why wouldn't he come?
他们看不见我  They don't see me.
他们看不见我  They don't see me.
杰克 你去哪里了？  Jack,where were you?
噩梦袭击了隧道  The Nightmares attacked the tunnels.
打碎了所有的蛋 压坏了所有的篮子  They smashed every egg,crushed every basket.
根本来不及放到地上来  Nothing made it to the surface.
杰克  Jack.
你从哪里找到这个的？  Where did you get that?
我 它  I was... It's...
小牙仙在哪？  Where's Baby Tooth?
杰克 你干了些什么？  Jack,what have you done?
所以你才没在这？  That is why you weren't here?
你跟夜魔在一起？  You were with Pitch?
不 听着 听着  No,listen,listen.
抱歉 我不希望发生这些  I'm sorry. I didn't mean for this to happen.
- 必须赶他走 - 什么？  - He has to go. - What?
我们从一开始就不该相信你  We should never have trusted you!
复活节是一个新的开始 新的生活  Easter is new beginnings,new life.
复活节是关于希望的  Easter's about hope.
但现在什么都没了  And now it's gone.
我们再去公园看看  Let's check the park again.
- 真的？- 去找什么？复活节兔子？  - Really? - For what? The Easter Bunny?
兄弟们 我说过了 我看到他了  Guys,I told you,I saw him!
他比我想的要大  He's way bigger than I thought
他有回旋镖一样的酷玩意  and he's got these cool boomerang things!
- 成熟点吧 杰米 - 哦 哥们 真的？  - Grow up,Jamie. - Oh,man. Seriously?
你们到底怎么了？  What's happened to you guys?
是个梦吧  It was a dream!
你应该高兴 你现在还有那样的梦  You should be happy you still get dreams like that
而不是  and not...
噩梦  Nightmares.
得了吧 杰米  Forget it,Jamie.
今年没有复活节了  There's just no Easter this year.
他真的是真的  He really is real!
我相信  I know he is.
真的发生了  I thought this might happen.
他们根本一直都不相信你  They never really believed in you.
我只是在告诉你这些  I was just trying to show you that.
我懂你  But I understand.
你什么都不懂  You don't understand anything!
不懂？我不懂被别人排挤的滋味？  No? I don't know what it's like to be cast out?
或者不被相信？  To not be believed in?
或者向往一个家庭  To long for a family.
这些年来我一直在想  All those years in the shadows I thought
没人会懂这滋味  no one else knows what this feels like.
但我知道我错了  But now I see I was wrong.
我们不需要孤零零的 杰克  We don't have to be alone,Jack.
我相信你 我知道孩子们也会的  I believe in you. And I know children will,too.
相信我？  In me?
是的  Yes!
想想我们可以做的  Look at what we can do.
有什么比冰冷黑暗更让人刻骨铭心？  What goes together better than cold and dark?
我们可以让他们信服  We can make them believe.
我们给他们一个世界  We'll give them a world where everything,everything is...
无尽的黑暗？  Pitch black?
还有无尽的严寒  And Jack Frost,too.
他们会相信我们俩的  They'll believe in both of us.
不 他们会害怕我们俩 这不是我想要的  No,they'll fear both of us. And that's not what I want.
最后一次说  Now for the last time,
让我自己一个人呆着  leave me alone.
很好 你想自己一个人 成交 但是  Very well. You want to be left alone. Done. But first...
小牙仙  Baby Tooth!
给我魔杖 杰克  The staff,Jack!
你很擅长破坏  You have a bad habit of interfering.
交给我 我就放了她  Now,hand it over,and I'll let her go.
好吧  All right.
放开她  Now let her go.
不  No.
你说你想要自己一个人  You said you wanted to be alone.
那你就孤家寡人吧  So be alone!
不要  No!
小牙仙  Baby Tooth!
你没事吧？  You all right?
抱歉 我能做的只能让你越冷  Sorry. All I can do is keep you cold.
夜魔是对的  Pitch was right.
我总是惹一堆烂摊子  I make a mess of everything.
嘿  Hey.
杰克？  Jack?
杰克  Jack!
杰克  Jack!
得了 杰克  Come on,Jack,
你不能整天只想着玩  you can't have fun all the time.
杰克 下来  Jack,get down from there.
- 杰克 - 你真有趣 杰克  - Jack! - You're funny,Jack.
小心点  Be careful.
会的  We Will.
没事 没事  It's okay. It's okay.
别往下看 光看我  Don't look down. Just look at me.
杰克  Jack.
我害怕  I'm scared.
我知道 我知道  I know. I know.
没事的 你不会掉下去  But you're gonna be all right. You're not gonna fall in.
我们来做个游戏吧  We're gonna have a little fun instead!
这才不是游戏  No,we're not!
我会骗你？  Would I trick you?
对 你总是骗我  Yes! You always play tricks!
好吧 这次不会了  Well,not this time.
我保证 我保证 你会  I promise,I promise. You're gonna be...
你会没事的  You're gonna be fine.
你得相信我  You have to believe in me.
你想玩个游戏吗？我们来玩跳房子  You want to play a game? We're gonna play hopscotch!
就像我们天天玩的一样  Like we play every day.
就这么简单  It's as easy as
一  OHG...
二  Two.
三  Three!
好了  All right.
轮到你了  Now it's your turn.
一  One...
就这样 就这样  That's it,that's it.
而  Two.
三  Three!
杰克  Jack!
你看到了吗 你看到了吗？  Did you see... Did you see that?
那是我  It was me!
我有个家庭 我有个妹妹  I had a family! I had a sister!
我救了她  I saved her!
这是我被选中的原因  That's why you chose me.
我是个守护者  I'm a Guardian.
我们得从这逃出去  We have to get out of here.
好吧  Okay.
小牙仙 我欠你个人情  Come on,Baby Tooth,I owe you one!
来 我们走  Come on! Let's go!
怎么了？  What's wrong?
你们都不能飞了？  None of you can fly?
那些光  The lights.
你们想走就可以走了  You're all free to go!
我们今年不需要任何圣诞礼物了  We won't be needing any Christmas toys this year,
感谢大伙  thank you.
或者永远都不需要了  Nor ever again.
要全部灭掉了  They're all going out.
还剩6个  Only six left.
6个宝贵的孩子  Six precious children
谁还全心全意的相信守护者们呢？  who still believe in the Guardians with all their hearts.
现在变成  Make that
五  five.
四  Four
三  Three!
儿  Two !
一  One.
杰米  Jamie.
好吧 听着  Okay,look,
你和我很显然需要做出抉择  you and I are obviously at what they call a crossroads.
那到底会发生什么  So here's what's gonna happen.
如果不是梦 如果你是真的  If it wasn't a dream and if you are real
那你现在就得证实一下  then you have to prove it,like,right now.
我一直相信你 好吗？  I've believed in you for a long time,okay?
我这一辈子都相信你  Like,my whole life,in fact.
所以你欠我的  So you kind of owe me now.
你不需要做很多 就给点提示就行  You don't have to do much. Just a little sign so I know.
什么都行  Anything.
什么都行  Anything at all.
我就知道  I knew it.
他是真的  He's real!
下雪了？  Snow?
杰克·福斯特  Jack Frost.
他刚刚是说  Did he just say...
杰克·福斯特？  Jack Frost?
他又说了一次 他说的  He said it again. He said...
你说的  You said...
杰克·福斯特  Jack Frost!
说对了  That's right!
是我 杰克·福斯特 那是我的名字  But that's me! Jack Frost! That's my name!
你说了我的名字  You said my name!
等等 你能听到我？  Wait. Can you hear me?
你能  Can you...
你能看到我？  Can you see me?
他看到我了 他看到我了  He sees me! He sees me!
- 你刚刚下了雪 - 我知道  - You just made it snow! - I know!
- 在我房间里 - 我知道  - In my room! - I know!
- 你是真的？- 当然  - You're real? - Yeah!
你觉得是谁在下雪节带来暴风雪的？  Who do you think brings you all the blizzards and the snow days?
你还记得那天你坐着雪橇飞起来吗？  And you remember when you went flying on that sled the other day?
- 那是你干的？- 那是我干的  - That was you? - That was me!
- 酷 - 就是嘛  - Cool! - Right?
但是 复活节兔子？还有牙仙？  But what about the Easter Bunny? And the Tooth Fairy?
真的 真的 真的 我们都是真的  Real,real,real! Every one of us is real.
- 我就知道 - 杰米 你在跟谁说话？  - I knew it! - Jamie,who are you talking to?
杰克·福斯特？  Jack Frost?
好吧  Okay.
回来  Come back!
- 诺斯 你还好？- 残酷的事实来了  - North,are you okay? -ls official.
我的法力没了  My powers are kaput.
看  Look!
杰克  Jack!
你没事吧？  Are you okay?
你在这干什么？  What are you doing here?
跟你一样  Same as you.
最后的光  The last light.
哇哦 真是你 真是你  Wow. It is you! I mean,it is you!
我就知道那不是梦  I knew it wasn't a dream!
杰克 他看得见你  Jack,he sees you.
等下 兔子在哪？  Wait. But where's Bunny?
复活节的事让我们惨败  Losing Easter took its toll on all of us.
兔子最惨  Bunny most of all.
哦 不是的  Oh,no.
那是复活节兔子？  That's the Easter Bunny?
终于有人看到我了  Now somebody sees me!
一个小时之前你干嘛去了 伙计？  Where were you about an hour ago,mate?
他怎么了？  What happened to him?
他以前又大又酷 现在他  He used to be huge and cool. And now he's...
可爱  Cute.
好爽  That's good.
是你教他说的？忍不了了  Did you tell him to say that? That's it!
走起 单挑 来  Let's go! Me and you! Come on!
不 实际上 他跟我说你是真的  No. Actually,he told me you were real.
就在我觉得你不是的时候  Just when I started to think that maybe you weren't.
他让你相信？  He made you believe?
我的？  In me?
把杰米带走  Get Jamie out of here.
小心 杰克  Be careful,Jack.
杰克·福斯特  Jack Frost.
让我们结束这一切吧 好不？  Let's end this,shall we?
你那小小的把戏对我无效了  That little trick doesn't work on me anymore.
这里 这里  This way,this way.
死胡同 换条路 换条路  Dead end. Other way,other way!
杰克  Jack!
多少尝试了下 杰克 给个友情分  That was good try,Jack. "A" for effort.
他变强了 我打不过他  He's stronger. I can't beat him.
整这么大场面就为了一个小男孩  All this fuss over one little boy,
而且他还相信着  and still he refuses to stop believing.
很好 还有其他方式  Very well. There are other ways
掐掉这光  to snuff out a light.
如果你想要他 就得先通过过  If you want him,you're gonna have to go through me.
看你毛绒绒的  Look how fluffy you are.
你想让我挠挠你的耳朵吗？  Would you like a scratch behind the ears?
想都别想  Don't you even think about it.
我真高兴  I can't tell you how happy it makes me
看到你们都这德行  to see you all like this.
你们看起来很糟糕  You look awful.
杰克 我害怕  Jack. I'm scared.
杰克 我害怕  Jack. I'm scared.
明白 明白  I know,I know.
但很快就没事了  But you're gonna be all right.
我们来乐呵乐呵  We're gonna have a little fun instead.
对了 这就是我的专长  That's it! That's my center!
怎么样 杰米？  So what do you think,Jamie?
你相信妖怪吗  Do you believe in the Boogey...
现在 去找你的朋友来  Now let's go get your friends.
酷  Cool!
杰米 你是怎么做到的？  Jamie,how are you doing that?
杰克·福斯特 来 我们需要你们帮助  Jack Frost! Come on,we need your help!
嘿 那是  Hey,is that...
杰克·福斯特  Jack Frost!
- 圣诞节快乐 - 复活节快乐  - Merry Christmas! - Happy Easter!
别忘了用牙线  Don't forget to floss!
- 小蛋糕了？- 什么？  - Cupcake? - What?
杰米 你说中了  Jamie,you were right!
复活节兔子是真的  The Easter Bunny's real!
- 还有牙仙 - 还有圣诞老人  - The Tooth Fairy! - And Santa!
他们都是真的  They're all real!
吔  Yeah!
你觉得几个小孩子就能帮你们？对付这？  You think a few children can help you? Against this?
只是噩梦而已 杰米  They're just bad dreams,Jamie.
我们会保护你的 伙计  And we'll protect you,mate.
你会保护他们？  You'll protect them?
那谁会保护你？  But who will protect you?
我会  I will.
我会  I will.
- 我会 - 我会  - I Will. - I Will.
还有我  And me.
我试试看  I'll try.
还觉得世界上没有妖怪吗？  Still think there's no such thing as the Boogeyman?
你存在 只是我不害怕你  I do believe in you. I'm just not afraid of you.
吔 牙仙  Yeah,Tooth Fairy!
吔  Yeah!
不 拿下他们  No! Get them!
干好你的活  Do your jobs!
吔 变身 变身  Yeah,come on,come on.
哦 糟了  Oh,crikey!
没门  No way!
我只是个兔子  I'm just a bunny!
好日子 伙计  G-'day,mate.
上啊  Come on!
拿下他们  Let's get them!
上啊 兄弟们 我们能行  Come on,guys,we can do it!
看我们的了 伙计  It's all yours,mate.
谢谢 牙牙  Thanks,Tooth.
走错地儿了  Wrong roof.
看啊  Look at that!
我懂了  ' Got it!
我知道该干什么了 走 兄弟们  I know what we have to do. Guys,come on.
结束了 夜魔  It's over,Pitch.
没有地方可以躲藏了  There's no place to hide.
杰克 小心  Jack,look out!
沙人  The Sandman!
你真是沙漠里的绿洲啊 伙计  Mate,you are a sight for sore eyes.
美的很  Pretty!
你的专长？  Your center?
花了我点时间  It took a while,
但我终于想通了  but I figured it out.
你们都上淘气名单了  You're all on naughty list!
兔子 反应快点  Bunny,think fast!
不  No.
你们竟敢当着我的免玩乐？  You dare have fun in my presence?
我是妖怪 你们要害怕我  I am the Boogeyman and you will fear me!
不 不  No! No.
这么快就要走了？  Leaving the party so soon?
连个再见都不说？  You didn't even say goodbye.
一分钱？  A quarter?
这是替我的仙子们的  And that's for my fairies.
你们摆脱不了我 永远都不会  You can't get rid of me! Not forever.
恐惧永远都会存在  There will always be fear.
那又怎样？只要还有一个孩子相信  So what? As long as one child believes,
我们就会在这战斗  we will be here to fight fear.
真的？那他们怎么在这？  Really? Then what are they doing here?
又不是我的噩梦 我不怕  They can't be my Nightmares. I'm not afraid.
貌似他们嗅到的是你的恐惧  Looks like it's your fear they smell.
不 不 不 不要  No,no,no. No!
不要  No!
准备好了吗 杰克？为了正式点  Are you ready now,Jack? To make it official.
该宣誓了  Then is time you take Oath.
杰克·福斯特 你要  Will you,Jack Frost,
宣誓看护世界上的所有儿童  vow to watch over the children of the world,
用你的生命去守护他们  to guard them with your life,
守护他们的希望 他们的愿望 他们的梦想  their hopes,their wishes,and their dreams,
因为他们是我们的一切  for they are all that we have,all that we are,
也永远都会是我们的一切吗？  and all that we will ever be?
我愿意  I will.
那么恭喜你 杰克·福斯特 你现在  Then,congratulations,Jack Frost,for you are now,
以及未来  and forevermore,
都是一个守护者了  a Guardian.
干得好  That's my boy.
正经点 妹子们  Keep it together,girls.
兄弟们 看  You guys,look!
- 圣诞老人的雪橇 - 哇哦 是真的  - That's Santa's sleigh. - Wow,it's real!
你们看到了吗？  You guys see that?
人人都爱雪橇  Everyone loves the sleigh.
哇哦 看看吧  Wow,look at that!
该走了  Time to go.
真美  It's beautiful.
复活节快乐 可爱的甜心小蜜糖  Happy Easter,you little ankle-biter.
我会想你的  I'm gonna miss you.
再见 兔子  Bye-bye,Bunny.
你要走了？  You're leaving?
夜魔要是回来怎么办？  But what if Pitch comes back?
要是我们又不在相信了？如果我看不到你  What if we stop believing again? If I can't see you...
嘿 慢点 慢点  Hey,slow down,slow down.
你觉得日出了 就没有月亮了？  You're telling me you stop believing in the moon when the sun comes up?
不  No.
那 你觉得乌云来了 就没有太阳了？  Okay. Well,do you stop believing in the sun when clouds block it out?
不  No.
我们一直在那 杰米 现在  We'll always be there,Jamie. And now,
我们会一直在这  we'll always be here.
这也让你成为了一个守护者  Which kind of makes you a Guardian,too.
杰克  Jack!
我的名字是杰克·福斯特  My name is Jack Frost.
我是一个守护者  And I'm a Guardian.
我是怎么知道的？  How do I know that?
月亮告诉我的  Because the moon told me so.
所以 当月亮告诉你事情的时候  So when the moon tells you something,
相信它  believe it.

