片名：功夫熊猫  KUNG FU PANDA
或许它可以  Maybe it can.
如果你愿意引导它  If you are willing to guide it.
培育它  To nurture it.
并且相信它  To believe in it.
可怎么做？怎么做？  But how? How?
我需要您的指点，大师  I need your help, Master.
不，你只需要学会相信  No, you just need to believe.
答应我，师傅  Promise me, Shifu.
答应我你会相信他  Promise me you will believe.
我会…努力  I will try.
很好  Good.
我的时辰到了  My time has come.
没有我，你的路也一定要坚持走下去  You must continue your journey without me
你这是？等等  What are you? Wait!
大师！  Master!
你不能丢下我！  You can't leave me!
你要学会相信  You must believe.
大师！  Master!
我就说：“好啊，你是条灰狼”  Yeah, so I'm like "Fine, you may be a wolf
“可能还是海锦州人见人怕的大土匪”  you may be the scariest bandit in Haijin Province...
“可给小费却是个铁公鸡”  ...but you're a lousy tipper."
真的假的？你怎么活着逃出来的？  Really? So how did you get out of there alive?
我其实没说出来…  I mean, I didn't actually say that...
我也就想想…  ...but I thought it...
心里撒撒气  ...in my mind.
要是他会读心术 肯定问我：“说啥着？”  If he could read my mind he'd be like "What?"
面条好了！希望你们爱吃  Order up! Hope you like it.
味道真不错！ 呵呵，别夸我了  This is really good! No come on
你应该尝尝我老爸的秘方鲜汤 就他知道秘方  Try my dad's Secret Ingredient Soup He actually knows the secret ingredient
你就别谦虚了，这可是极品美味  What do you mean? This is amazing!
你真是好厨子 真希望我嘴大点  You're a really good cook I wish my mouth was bigger
娇虎，你得尝尝  Tigress, you've got to try this.
据说神龙大侠能不吃不喝熬过几个月  It is said that the Dragon Warrior can survive for months
仅凭银杏叶上的露珠和天地之气  on nothing but the dew of ginkgo leaf and the energy of the universe
可能我身体还不知道成了神龙大侠  I guess my body doesn't know it's the Dragon Warrior yet
我可不能只靠露水和什么天地之气  I'm gonna need a lot more than dew and universe juice
怎么了？ 没什么…你像师傅  What? Nothing...Master Shifu
你成为不了神龙大侠 除非你减掉450斤肉，天天刷牙  Never be the Dragon Warrior unless you lose 500 pounds and brush your teeth!
你们发什么怪声？笑声？我没听过  What is that noise you're making? Laughter? I never heard of it!
努力点，熊猫，没准哪天…  Work hard panda and maybe someday...
你就能有我这样的耳朵  ...you will have ears like mine.
学得真像  That's good.
耳朵，不好笑吗？我觉得挺有创意的啊  Ears It's not working for you? I thought they were pretty good
是师傅！  It's Shifu!
当然是师傅，你们以为我在模仿谁？  Of course it's Shifu What do you think I'm doing?
是功夫大师！  Master Shifu!
你们觉得这好玩吗？  You think this is funny?
大龙都越狱了，你们还这么孩子气！  Tai Lung has escaped and you're acting like children!
什么？ 他是来抢神龙秘籍的  What? He is coming for the Dragon Scroll
而你是唯一能阻止他的人  and you are the only one who can stop him
我刚说你没幽默细胞  And I was saying you got no sense of humor
我要…阻止大龙  I'm gonna... stop Tai Lung.
啥？你没开玩笑？非要我？  What? You're serious? And I have to?
乌龟大师能阻止他，就像以前一样  Master Oogway will stop him like he did before
乌龟大师不能了！  Oogway cannot!
永远不能了  Not anymore.
我们唯一的希望就是神龙大侠了  Our only hope is the Dragon Warrior.
这个熊猫？ 是的，这个熊猫！  The panda? Yes, the panda!
师傅，让我们去阻止大龙 您训练我们就是为了这个  Master let us stop Tai Lung This is what you've trained us for
不，打败大龙不是你们的使命  No! It is not your destiny to defeat Tai Lung
是他的！  It is his!
他哪去了？  Where'd he go?
你不能放弃！真正的大侠绝不放弃！  You cannot leave! A real warrior never quits
等着瞧  Watch me.
得了吧  Come on.
我怎么打败大龙啊？我连逃跑都做不到  How am I supposed to beat Tai Lung? I can't even beat you to the stairs
你能打败他，因为你是神龙大侠  You will beat him because you are the Dragon Warrior
你才不信呢，你就没信过  You don't believe that.  You never believed that.
从刚开始你就想赶我走  From the beginning you've tried to get rid of me
我是想过  Yes! I was.
可现在我要你相信你师傅 就像我相信乌龟大师一样  But now I ask you to trust in your master as I have come to trust in mine
你不是我师傅，我也不是神龙大侠  You're not my master And I'm not the Dragon Warrior
那你怎么没放弃？你知道我要赶你走，可你留下了  Then why didn't you quit?! You knew I wanted you gone, yet you stayed
是啊，我是留下了  Yeah, I stayed.
我留下来，是因为就算你拿板砖拍我  I stayed because every time you threw a brick at my head
或是说我不讲卫生，伤我自尊 可再伤心也比不过…  or said I smelled it hurt but it could never hurt more
日复一日发现我还是原来的我  than it did every day of my life just being me
我留下来，因为我觉得就算只有一人能改变我  I stayed because I thought if anyone could change me...
能够让我脱胎换骨…  ...could make me... not me...
也该是你  ...it was you.
全中国最伟大的功夫大师  The greatest kung fu teacher in all of China!
可我能改变你！  But I can change you!
我能把你变成神龙大侠！我也会的！  I can turn you into the Dragon Warrior! And I will!
算了吧，大龙马上就杀过来了  Come on. Tai Lung is on his way here right now
就算他花一百年才到这里，你要怎么做…  Even if it takes him a hundred years to get here, how are you...
才能把这堆肉变成神龙大侠？  gonna change this into the Dragon Warrior?
怎么做？  How?
怎么做？  How?
说啊 我不知道！  How?! I don't know!
我不知道…  I don't know.
我就说么  That's what I thought.
你训练我就是为了这个  This is what you trained me for.
娇虎！  Tigress!
别想拦我  Don't try and stop me.
我们不是要拦你  We're not trying to stop you.
什么？  What?
我们和你并肩作战  We're coming with you!
怎么？我一心烦就吃东西解闷，行了吧  What? I eat when I'm upset, OK?
不用解释  No need to explain.
我还以为你是金猴 他把杏仁饼干藏在架子顶层  I thought you might be Monkey. He hides his almond cookies on the top shelf
别告诉金猴  Don't tell Monkey.
瞧瞧你 是啊，我知道，又招你讨厌了  Look at you. Yeah I know I disgust you
不是，我是说，你是怎么上去的？  No, I mean, how did you get up there?
我也不知道，我猜就是…  I don't know. I guess that...
不知道，我想要吃饼干着  I don't know. I was getting a cookie.
可你一蹦就离地一丈高  Yet you are ten feet off the ground.
还来个完美大劈叉  And you have done a perfect spilt.
这也算？这是个…  No, this? This is just...
意外  ...an accident.
从来就没有意外  There are no accidents.
跟我来  Come with me.
我知道你们练武的都神叨叨的  I know you're trying to be all mystical and kung fuey...
可怎么也得告诉我去哪儿啊  but could you at least tell me where we're going?
你让我…  You dragged me...
跑这么老远  ...all the way out here...
为了洗个澡？  ...for a bath?
熊猫  Panda...
这圣泪池可不是洗胳肢窝用的  we do not wash our pits in the Pool of Sacred Tears.
什么池？  The Pool of...
乌龟就是在这里解开  This is where Oogway unraveled the mysteries...
和谐入定的玄机  ...of harmony and focus.
这里是功夫的…  This is the birthplace...
诞生地  ...of kung fu.
想学功夫吗？  Do you want to learn kung fu?
想！  Yeah!
那我就是你的师傅！  Then I am your master!
好啊！  OK!
不许哭  Don't cry.
不哭  OK.
（毛外套又当抹布了）  (personal hygiene)
你专心学武  When you focus on kung fu,
越是专心  when you concentrate...
学得越烂  ...you stink.
这也许是我的失误  Perhaps that is my fault.
我不能像训练五侠那样训练你  I cannot train you the way I have trained the Five
我现在找到打通你武学的穴道了…  I now see that the way to get through to you
就是用这个  ...is with this.
啊，太好了，我都饿坏了  Oh, great, 'cause I am hungry.
正好  Good.
你训练完了，就可以开吃了  When you have been trained, you may eat.
开始吧  Let us begin.
你先来，熊猫  After you, panda.
就这么简单？  Just like that?
没仰卧起坐？不用跑30里路？  No sit  ups? No ten  mile hike?
我发过誓训练你，你已经练成了 你可以开吃了  I vowed to train you, and you have been trained. You are free to eat
请吧  Enjoy.
嘿！  Hey!
我说你可以随便吃，来个包子  I said you are free to eat Have a dumpling
嘿！  Hey!
随便吃啊  You are free to eat.
随便吗？ 你行吗？  Am I?! Are you?!
我不饿了  I'm not hungry.
师傅  Master.
砍断绳索！  Cut it!
神龙大侠在哪儿？  Where's the Dragon Warrior?
你怎么知道眼前就不是？  How do you know you're not looking at her?
你当我脑残了啊？  You think I'm a fool?
我知道你不是神龙大侠，你们都不是  I know you're not the Dragon Warrior None of you!
我听说他坐着火球从天而降  I heard how he fell out of the sky in a ball of fire
世人从没见过他那样的大侠  That he's a warrior unlike anything the world has ever seen
阿宝？ 原来叫这名儿，阿宝  Po? So that is his name. Po
总算有个配的上的对手了  Finally, a worthy opponent.
我们的大战会载入史册  Our battle will be legendary!
我们撑着，快去帮她  We've got this. Help her.
金猴！  Monkey!
快去！  Go!
我真白忙乎了  What was I thinking?!
螳螂！  Mantis!
就现在！  Now!
师傅教得不错  Shifu taught you well.
可他没全教给你们  But he didn't teach you everything.
你干得很好，熊猫  You have done well, panda.
就很好？只是很好？  Done well? Done well?
我很强大！  I've done awesome!
真正的英雄懂得谦虚  The mark of a true hero is humility.
不过，你确实…  But, yes, you have done...
很强大  ...awesome
伙计们？都怎么了？他们死了！  Guys? Guys?! They're dead!
不，还喘气呢，睡着了？可眼睁着  No they're breathing They're asleep? But their eyes are open
我们斗不过他的点穴神功  We were no match for his nerve attach.
他变得更强了  He's gotten stronger.
谁？大龙？更强了？  Who? Tai Lung? Stronger?
他太快了！  He's too fast!
对不起，阿宝  Sorry, Po.
我还以为能阻止他  I thought we could stop him.
他本可以杀了你们  He could have killed you.
为什么没杀？  Why didn't he?
这样你们就能回来让我们心惊胆颤 可这没用  So you could come back and strike fear into our hearts. But it won't work
有可能，其实，我有点怕  It might. I mean, a little.
我是非常怕啊  I'm pretty scared.
你能打败他，熊猫！  You can defeat him, panda!
开玩笑吧？虎胆五侠都不行！  Are you kidding? If they can't?!
他们可是五位大侠，而我就一个小胖  They're five masters. I'm just one me.
可你拥有他们都没有的东西  But you will have the one thing that no one else does
你真认为我准备好了？  You really believe I'm ready?
是的  You are...
阿宝  ...Po.
看吧，神龙秘籍  Behold the Dragon Scroll.
是你的了  It is yours.
等等，我看了以后会怎么样？  Wait. What happens when I read it?
据说你能听到蝴蝶拍打翅膀的声音  Legend says you will be able to hear a butterfly's wing beat
真的？太酷了！  Really? That's cool.
是啊，还能在最黑的山洞看到光亮  Yes. And see light in the deepest cave.
还能感受到天地的运转  You will feel the universe in motion around you
我能打穿墙吗？  Can I punch through walls?
能做四个后空翻吗？ 专心点  Do a quadruple back flip? Focus
能吗？ 专心  Will I? Focus.
专心 啊，好的，好的  Focus. Oh yeah yeah
读完它，阿宝，去完成你的使命  Read it, Po, and fulfill your destiny.
读完它，你就能成为…  Read it and become...
神龙大侠  ...the Dragon Warrior.
怎么打不开啊  It's impossible to open.
来啊，宝贝，出来啊  OK. Come on, baby. Come on now.
谢谢了  Thank you.
估计是我替你弄松了  I probably loosened it up for you though.
好，开卷了！  OK, here goes.
是空的   什么？  It's blank.   What?!
你自己看 不行，按规矩我是不能看…  Here look No I am forbidden to look upon...
空的，我不…  Blank. I don't...
我不明白  I don't understand.
好吧，这么看来…  OK. So, like...
乌龟多半是个老疯子  Oogway was just a crazy old turtle after all
不，乌龟的智慧我们都比不上  No. Oogway was wiser than us all.
得了吧！实际情况是因为意外才选中的我  Oh come on! Face it he picked me by accident
我才不是什么神龙大侠，我骗谁啊  Of course I'm not the Dragon Warrior Who am I kidding?
可谁去阻止大龙呢？  But who will stop Tai Lung?
他会杀了所有人，毁了一切  He'll destroy everything and everyone.
不会的  No.
撤空和平谷，你们要保护村民不受伤害  Evacuate the valley. You must protect the villagers from Tai Lung's rage
可你呢？师傅？ 我会跟他斗  What about you Master? I will fight him
什么？ 我能拖延他一段时间  What? I can hold him off long enough
大家就能逃走了  for everyone to escape.
可师傅，他会杀了你  But Shifu, he'll kill you
那我也算弥补过错了  Then I will finally have paid for my mistake
你们听我说  Listen to me, all of you.
没有我，你们的路也一定要坚持走下去  It is time for you to continue yourjourney without me
成为你们的师傅我很自豪  I am very proud to have been your master
咱们得把乡亲们带到安全的地方  We've got to get them out safely.
过来，小家伙，我带你找妈妈去  Come little one. Let's find your mama
灵蛇，集合南部村民，螳螂，负责北面  Viper gather the southern farmers Mantis, the north
仙鹤，提灯领路  Crane, light the way.
看呐，是神龙大侠  Look, it's the Dragon Warrior.
嘿，爸爸  Hey, Dad.
阿宝！  Po!
你能回来真好，儿子  Good to have you back, son.
我也这么觉得  Good to be back.
咱们走吧，阿宝  Let's go, Po.
是该考虑咱们的下一个店铺了  So for our next shop it's time to face it
面条的前景嘛，配菜要切成块  the future of noodles is dice  cut vegetables
不是切成丝  ...no longer slices.
而且，我还琢磨着，这次…  Also I was thinking, maybe this time
咱们造个大点的厨房，你站直了进去  we'll have a kitchen you can actually stand up in
觉得怎么样？  You like that?
阿宝，你没如愿，我也挺伤心的  Po I'm sorry if things didn't work out
可能那就不是你的命  It just wasn't meant to be.
阿宝，别胡思乱想了  Po, forget everything else.
还有大好前途等着你呢  Your destiny still awaits.
我们是做面条的，血脉里流淌着汤汁  We are noodle folk Broth runs deep through our veins
我心里挺乱的，爸爸  I don't know, Dad.
说实话，有时候我都不相信是你儿子  Honestly sometimes I can't believe I'm actually your son
阿宝…  Po...
我想是时候该告诉你些事情了  I think it's time I told you something I should have told you
我早该跟你说的  ...a long time ago.
好啊  OK.
我那秘方鲜汤的秘方是  The secret ingredient of my Secret Ingredient Soup
离近点，秘方是…  Come here The secret ingredient is...
不加料  ...nothing.
你听着了，不加料  You heard me. Nothing!
根本就没有什么秘方！  There is no secret ingredient!
等等，就是普通的面汤？  Wait wait It's just plain old noodle soup?
你不加什么特殊佐料之类的？  You don't add some kind of special sauce or something?
不用啊，想要让它变得特别 你只要相信它很特别  Don't have to To make something special, you just believe it's special
根本就没有什么秘方  There is no secret ingredient.
我回家了，师傅  I have come home, Master.
这里不再是你的家，我也不再是你的师傅  This is no longer your home And I am no longer your master
噢，是啊，你收了个新宝贝  Oh yes You have a new favorite
这个阿宝在哪儿？  So where is this Po?
我给他吓跑了？  Did I scare him off?
这战斗是你我之间的  This battle is between you and me.
那我就奉陪好了  So, that is how it's going to be.
咱们必须了结  That is how it must be.
我蹲了20年大牢，都是因为你太软弱！  I rotted in jail for 20 years because of your weakness!
服从师傅不是软弱！  Obeying your master is not weakness!
你早知道我就是神龙大侠  You knew I was the Dragon Warrior.
你早知道  You always knew.
可乌龟拒绝的时候，你做什么了？  But when Oogway said otherwise what did you do?
帮我了吗？  What did you do?!
没有！  Nothing!
你命中注定不是神龙大侠！那不是我的错！  You were not meant to be the Dragon Warrior! That was not my fault!
不是你的错？  Not your fault?!
是谁让我心怀美梦？  Who filled my head with dreams?!
又是谁让我训练得伤筋断骨？！  Who drove me to train until my bones cracked?!
是谁阻挡了我的命运？！  Who denied me my destiny?!
这我没有权利决定  It was never my decision to make!
现在有了  It is now.
把秘籍交出来！  Give me the scroll!
我宁愿去死  I would rather die.
我所作的一切，都是为了让你自豪！  All I ever did, I did to make you proud!
告诉我你有多自豪，师傅！  Tell me how proud you are, Shifu!
告诉我！  Tell me!
告诉我！  Tell me!
我…我一直都为你自豪  I have...I have always been proud of you
从遇到你，你就是…  From the first moment I've been...
我的骄傲  ...proud of you.
可我的骄傲…  And it was my pride...
让我丧失了判断  ...that blinded me.
我过于爱你，没有看清你  I loved you too much to see what you were becoming
是我…  ...what I...
让你走上了歧途  ...was turning you into.
我…  I'm...
我很抱歉  I'm sorry.
我不要你道歉！  I don't want your apology.
我要我的秘籍！  I want my scroll!
什么？！  What?!
它哪去了？！  Where is it?!
神龙大侠已经带着秘籍远走高飞了  Dragon Warrior has taken the scroll halfway across China by now.
你永远别想得到它，大龙  You will never see that scroll Tai Lung
永远  Never.
永远  Never.
爬楼真累  Stairs.
你又是谁？  Who are you?
伙计，我是…神龙大侠  Buddy, I am the Dragon Warrior.
你？  You?
他？他是个熊猫  Him? He's a panda.
你是个熊猫，想怎么着胖胖？一屁股坐死我？  You're a panda. What are you gonna do, big guy? Sit on me?
别惹火了我  Don't tempt me.
算了，我会用这个  No. I'm gonna use this.
想要吗？来拿啊  You want it? Come and get it.
总算到手了！  Finally!
秘籍是我的！  That scroll is mine!
快如闪电！  Lightning!
秘籍给了他力量  The scroll has given him power!
不！  No!
总算！太棒了  Finally! Oh, yes.
秘籍的力量归我了！  The power of the Dragon Scroll is mine!
什么都没有  It's nothing!
没关系的，头一次我也没弄明白  It's OK I didn't get it the first time, either
什么？  What?
根本就没有什么秘方  There is no secret ingredient.
关键在自己  It's just you.
停下  Stop it!
我都要尿了  I'm gonna pee.
不要  Don't.
不要嘛！  Don't! Don't!
你…  You...
不可能打败我  ...can't defeat me.
你…  You...
你就是个大…  ...you're just a big...
胖…  ...fat...
熊猫！  ...panda!
我不是普通的大胖熊猫  I'm not a big fat panda.
我是传奇的大胖熊猫  I'm the big fat panda.
五溪劫指扣！  The Wuxi Finger Hold!
你知道这招？  Oh, you know this hold?
你吹牛，你在吹牛，师傅才不会教你呢  You're bluffing You're bluffing Shifu didn't teach you that
是不会  Nope.
我无师自通的，再见吧  I figured it out. Skadoosh.
快看！  Look!
神龙大侠  The Dragon Warrior.
是我孩子！这个可爱的功夫大侠是我儿子  That's my boy! That big lovely kung fu warrior is my son!
好孩子！  Yes!
谢谢，爸爸  Thanks, Dad.
嘿，伙计们  Hey, guys.
大师  Master.
大师  Master.
大师？  Master?
咱们师傅！  Master Shifu!
师傅！  Master!
师傅，你没事吧？！  Shifu, are you OK?!
阿宝  Po.
你还活着  You're alive.
还是咱们都死了？  Or we're both dead.
不，师傅，我没死，我打败大龙了  No Master I didn't die I defeated Tai Lung
打败了？  You did?
跟乌龟预言的一样  It is as Oogway foretold.
你就是神龙大侠  You are the Dragon Warrior.
你把安宁带给了…  You have brought peace...
山谷…  ...to this valley...
而且…  ...and...
也给了我  ...and to me.
谢谢  Thank you.
谢谢，阿宝  Thank you, Po.
谢谢你，谢谢  Thank you. Thank you.
不！师傅！不不不，师傅别死啊！  No! Master! No no no don't die Shifu please!
我没死，你个白痴！  I'm not dying, you idiot!
哦，是神龙大侠…  Dragon Warrior...
我只是静心了，总算静心了  ...I am simply at peace. Finally.
那，我不该说话了？  So, I should stop talking?
最好别说  If you can.
想吃点东西吗？  Want to get something to eat?
好吧  Yeah.
【还有精彩内容，不妨看到最后】  (fun stuff coming ahead)
∮大家都在用功拼搏  Everybody is kung fu fighting
∮而你思维快若闪电  Your mind becomes fast as lightning
∮虽然前路有些迷茫  Although the future is a little bit frightening
∮可你还是去书写生命篇章  It's the book of your life that you're writing
∮大家都在用功拼搏  Everybody is kung fu fighting
∮而你思维快若闪电  Your mind becomes fast as lightning
∮虽然前路有些迷茫  Although the future is a little bit frightening
∮可你还是去书写生命篇章  It's the book of your life that you're writing
∮你是天生功夫大侠  You are a natural
∮却又长久迷失自我  Why is that so hard to see?
∮可能因为太过关注眼前  Maybe it's just because You keep on looking at me
∮旅途比我们想得更加孤单  The journey's a lonely one So much more than we know
∮可有时得站出来成为自己的英雄  But sometimes you've got to go And be your own hero
∮大家都在用功拼搏  Everybody is kung fu fighting
∮而你思维快若闪电  Your mind becomes fast as lightning
∮虽然前路有些迷茫  Although the future  is a little bit frightening
∮可你还是去书写生命篇章  It's the book of your life that you're writing
∮你是泥中钻石沙中金子  You're a diamond in the rough  A brilliant ball of clay
∮一往无前就能成为造化杰作  You could be a work of art If you just go all the way
∮碰到困难？用心突破  Now what would it take to break? I believe that you can bend
∮不仅要战，还要胜利  Not only do you have to fight But you have got to win
∮因为大家都在用功拼搏  'Cause everybody is kung fu fighting
∮而你思维快若闪电  Your mind becomes fast as lightning
∮虽然前路有些迷茫  Although the future is a little bit frightening
∮可你还是去书写生命篇章  It's the book of your life that you're writing
【灵蛇被扎成了神龙大侠】  ∮你是泥中钻石沙中金子  You're a diamond in the rough A brilliant ball of clay
∮一往无前就能成为造化杰作  You could be a work of art If you just go all the way
∮碰到困难？用心突破  Now what would it take to break? I believe that you can bend
∮不仅要战，还要胜利  Not only do you have to fight But you have got to win
∮因为大家都在用功拼搏  'Cause everybody is kung fu fighting
【金猴的饼干都被阿宝偷吃光了】  ∮而你思维快若闪电  Your mind becomes fast as lightning
∮虽然前路有些迷茫  Although the future is a little bit frightening
∮可你还是去书写生命篇章  It's the book of your life that you're writing
熊猫每天最少要花10个小时以上吃东西，最少吃20多斤  (about panda)
电影中在小黑板写过饭馆特色：麻辣烫面、自制干面  (about the restaurant)
【阿宝拉面待客，平先生象棋狂切功夫大师】  (Shifu plays poorly on Chinese Chess )
螳螂最早曾被设计成和大龙密谋的大反派  (about Mantis)
电影中仙鹤共有6019片羽毛  (about crane)
金猴由成龙配音  (about monkey)
【阿宝大闹恶魔山】  (Demon Mountain continued)
【神龙秘籍之幼儿精讲班】  (reveal the scroll to the young citizens)
电影中蛇身上共设计了120块骨头  (about viper)
【还想着吃桃子呢…】  (where are the peaches?)
乌龟成仙化作37517片花瓣，场景历时6个月制作完成  (about Oogway)
【娇虎和师傅都不再一本正经了】  (laughter?never heard before?)
【小善负责把阿宝打碎的灵坛粘好】  (poor Zeng fixing up the Urn)
功夫大师是只小熊猫，最早设计中师傅还带个眼镜  (about shifu)
大龙是只雪豹  (about tailong)
【阿宝终于有了一个玩具娃娃的自己】  (the owner and the action figure himself)
08年11月会发行《虎胆五侠的秘密》讲述他们的来历  (about the movie)
【栽下的桃核已经长成幼苗啦】  (growing seed)
剧终  THE END

