汽车总动员3
好了 我们开始吧  Okay. Here we go.
轮胎都是独立个体  Tires are individuals
你该给他们起个名字  you should give each a name
名字  name!
我才不要  I will not be doing that
我的就有名字 玛利亚 科瑞塔 罗纳尔多 黛比·理查森  mine are named. Maria, Quarita, Ronaldo and Debbie Richardson
什么    说来话长  what?    Long story
能把轮胎给我装回去吗 我想去模拟赛道  may I have my tires back so I can go on the simulator please
给他们起名字  name them!
小左 小右 小后 小后二世  Lefty, righty, backy , backy junior. Okay
这让你抓狂吗  Does this make you mad?
是的  Yes, it does.
用那招  Use that!
出现 再消失  Emerge and kneel.
出现 再消失  Emerge and kneel.
现在 你的轮胎磨损了  now, you got some tire damage.
多谢 科鲁兹 够了  Thank you, Cruz. I'm done.
麦坤先生 你去哪  Mr. McQueen, where are you going?
去未来  To the future!
好 来吧 我要怎么做 来吧宝贝  Okay, here we go. Here we go. How do I do this? Come on baby.
麦坤先生  Mr. McQueen.
科鲁兹 谢谢你如此极尽疯狂的老年人训练  Cruz, thank you for the old man training as crazy as it was.
我准备充分了 现在需要你启动这东西  but I'm warmed up enough and now I need you to launch this thing.
麦坤先生 拜托等到你可以掌控它吧  Mr. McQueen, wait until you can handle it please,
凡事没有捷径的  there are no shortcuts.
好吧 让我们看看吧  Okay, we'll just see about that.
好 我的明星赛车手在模拟器上了  All right, my star racer is on the simulator.
是的 我准备好了  Yes, I am.
让我们来看你跑一跑  Well, let's see you take it out for a spin.
马上 斯特林先生 公司的所有者  Right away, Mr. Sterling, owner of the company.
好吧 祝你愉快  Okay, have fun.
这就是我说的  This is what I'm talking about.
我还不知道有这种操作  Didn't know about those.
等等 你没说什么…这是在说话吗  Wait, what you didn't say... is it talking?
准备  The flag is out.
可我没看到旗啊 我要做什么  But I don't see the flag... what do I do?
冲 冲    冲吗  Go! Go!    Go?
好灵敏  That is sensitive.
你撞到了墙壁  You have hit the wall.
不会太难 对吧  It shouldn't be this hard, should it?
你撞到了墙壁  You have hit the wall.
你在和模拟器对抗 就像平时那样跑  You are fighting the simulator, just race like you always do.
你撞到了墙壁  You have hit the wall.
常规跑道可没这么多墙壁  There can't be this many walls in a regular track.
你已经被暴风杰克逊超越  You have been passed by Jackson Storm.
等等 暴风在这里  Wait, Storm is in here?
动力来了  The motivation.
暴风领先了2 07  Storm races at 2:07.
追上去 麦坤先生    我在努力  Pick it up, Mr. McQueen!    I am trying.
你撞到了墙壁  You have hit the wall.
麦坤先生从模拟器上下来 我们再训练  Mr. McQueen come down from there, we will work you up to this.
我没事 科鲁兹 我能做到的 好吗  I am fine, Cruz. I can do it, okay?
你越过了一道障碍  You have jumped a barrier.
你撞到了两辆车…  You have made two vehicles...
你撞坏了一辆救护车  You have disabled an ambulance.
你着火了  You are on fire.
危险 危险 你正在进入错误路段  Danger! Danger! You are going wrong way.
当心 关掉它 把这些东西从我身上拿掉  Look out! Turn it off! Turn it off! Get these things off of me.
你撞车了 你撞车了  You have crashed! You have crashed!
你没事吗    你撞车了  Are you alright?    You have crashed.
我撞车了  I have crashed.
你彻底洗干净了 麦坤  Your are all washed up, McQueen.
抱歉 什么  I'm sorry, what!
我说地板都洗干净了  I said floors all washed up and clean.
对哦  oh, right.
非常感谢  Thank you very much.
好运  Good luck.
闪电 快来 我要给你看点东西  hey, Lightning. Come on in. I got something to show you.
你准备好了  You ready?
看什么  For what?
你将要成为赛车界最大的品牌  You are about to become the biggest brand in racing.
我们说的可是  we are talking about saturation
全世界范围内的  on all continents for every demographic
电影交易 商业广告 产品代言  movie deals, in   commercials , product endorsements,
挡泥板  mud flaps,
当然 你会拥有超出想象的财富  of course, you will be rich beyond belief.
你觉得你已经有名气了吗  Do you think you're famous now?
我以为你会为模拟赛的事生气  I thought you'd be mad about the simulator.
我觉得这很不错 斯特林先生 但是  I mean this is all great, Mr. Sterling, I guess but.
我不确定 我从没想过自己会成为一个品牌  I don't know.I never really thought of myself as a brand.
不 是我吗 我可能是你最狂热的粉丝  Oh, no. Do I? I'm a fan maybe your most avid.
我把这视作你的遗产  I think of this as your legacy.
听起来像是你不再比赛后的事  It sounds like something that happens after you're done racing.
斯特林先生 这是要做什么呢  Mr. Sterling. What is this about?
闪电 我不会让你比赛  Look, Lightning! I'm not gonna race you...
什么 不让我比赛是什么意思  What!...what do you mean not racing me?
稍等 稍等  Hold on! Hold on!
我去不了弗罗里达  I'm not going to Florida.
闪电  Lightning!
你完全不知道 能让你来这我有多激动  You have no idea how excited I was to get you here,
因为我知道 我知道你会恢复状态的  because I knew, I knew you'd be back.
这会成为本年度的复出故事 但是  This gonna be the comeback story of the year but
你的速度和表现并不适合那里  your speed and performance just aren't where they need to be.
真抱歉  I'm sorry.
我们说的是模拟器上的速度  we're talking about speed on a simulator.
这听上去多荒谬  Listen how crazy that sounds.
听着 我在想办法帮你  Look, I'm trying to help you.
作为你的赞助商没问题 但是同时作为朋友  As your sponsor yes, but also as your friend,
你的比赛时光即将收尾了  your racing days are coming to an end.
你每次输掉比赛 都会对自己造成损耗  Everytime you lose, you damage yourself.
你是说破坏品牌形象吧  Damage the brand you mean.
闪电 拜托  Oh, Lightning. Come on.
你已经完成了比赛 现在该进入下一阶段  You've done the work now move on to the next phase,
得到回报  and reap the reward.
比赛就是回报 这些东西才不是  The racing is the reward not the stuff.
我不想赚钱  I don't want to cash in.
我想体验每小时200英里的快感  I want to feel the rush of moving 200 miles an hour
想要比别的车跑得快  inches from the other guys
让我自己能比我所想的还快  pushing myself faster than I thought I could go
那才是奖励 斯特林先生  that's the reward Mr. Sterling.
闪电 拜托  Oh, Lightning. Come on.
我能做到的 我能 我保证  Look, I can do this. I can, I promise.
我会像我和博士那样训练的  I'll train like I did with Doc
我会让我的轮胎放肆奔跑 整个佛罗里达都会留下我的印迹  I'll get my tires dirty on every turn track from here in the Florida
我可以在火球海滩上训练  I can start right there on
很多老赛车届高手在那里训练过  fireball beach where all the old greats used to race
让你的轮胎放肆奔跑  Get your tires dirty
这样你就能比暴风跑得快了  that's how you're gonna get faster than Storm
是的 就是这样  Yes! Exactly!
我是说好好训练  I mean sacred dirt, right.
斯特林先生 如果你在乎 我能传承  Mr. Sterling if you care about my legacy,
博士的传统  the one that Doc started
你就让我做吧 我保证我会赢的  you'll let me do this. I promise you I will win.
我不知道  I don't know
你要求的太危险了  what you're asking it's to risky
拜托 你喜欢我的计划的 我能看出来  Come on, you like it. I can tell
有点像卷土重来的感觉 对吗  it's got that little comeback story of the year feel to it, doesn't it?
就一场  One race
如果你没有赢了佛罗里达的比赛 你就退休  if you don't win at Florida, you'll retire
如果我没赢 起码也能替你的挡泥板有宣传  Look... if I don't win also I will hold the mud flaps you got
但如果我赢了 我就想做什么就做什么  but if I do win, I decide when I'm done
成交  Deal
成交  Deal.
谢谢你 斯特林先生 你不会后悔的  Thank you Mr. Sterling. You won't be sorry
一件事  Just one thing and this
只是因为我不喜欢冒险  is only because I don't like taking chances
你得带个人和你一起去  you're taking someone with you
你让他这么做的  You talked him into it
干得漂亮啊 麦坤先生  Way to go Mr. McQueen
科鲁兹    你那嘴能把死人说活了  Cruz!    You could talk a snowmobile into an air conditioner
你要和我一起去  You're going with me
还有那玩意  with that thing
对啊 你还需要我帮忙  Yeah, you still need my help
你就和化石一样脆弱  You're brittle like a fossil.
我不需要训练员 科鲁兹  I don't need a trainer out here Cruz
你上了年纪了  You're old
如果你跌倒在海滩上起不来了怎么办  what if you have fallen on this beach and can't get up
生活就是海滩 你只能行驶下去  Well, life's a beach and then you drive
太逗了 麦坤    谢谢  ha ha McQueen..    Thank you
真美啊  This is beautiful
我明白为什么斯特林先生说 你想在这训练了  I can see why Mr. Sterling said you wanted to train out here
这玩意一启动  As soon as this thing's booted up, we'll get
就可以把你放上去 测你的速度  you on the treadmill and I'll track your speed
什么 不要 来这里就是为了让我的轮胎能放肆奔跑  What! No! The whole idea is getting my tires dirty.
真正的跑 不是在那玩意上不接触沙子  Real racing not driving on that thing when I've got the sand
不接触大地的跑  and the whole earth
好吧    路易吉 就这么做吧  Oh, okay.    Luigi, let's do this
欢迎我们的赛车手来到火球海滩  Welcome a racer to fireball beach
今天的测速极具历史意义  historical for today's great test of speed
我们的重点就是远处那看不到的地方  Our finish line will be the abandoned appear in the distance
好了 比快更快 我就是速度的化身  All right, quicker than quick faster than fast, I am speed
自我激励的方法很棒  That is great self   motivation
你自己想到的吗    是的  Did you come up with that?    Yeah I did
各就各位 预备 跑  On your mark, get set! Go!
就是这样 感觉真爽  Here you go, felt good
我的速度是多少    不知道  Hey, what was my speed    I don't know
你只有在踏车上我才能测你的速度  I can only track you on the treadmill
不要踏车  No treadmills.
汉密尔顿怎么样    汉密尔顿在此  Oh, what about Hamilton    Hamilton here
谁是汉密尔顿  Who's Hamilton
我的电子个人助手 就像你手机上的一样  My electronic personal assistant you know like on your phone
你有手机的 有吗  You do have a phone, don't you?
赛车是没有手机的 科鲁兹  Race cars don't have phones Cruz
汉密尔顿 跟踪记录麦坤的速度并汇报  Hamilton! Track Mr. McQueen's speed and report it
追踪    我会尽可能近的跟着你  Tracking    I'll stay as close as I can
你的车身会将你的速度传给汉密尔顿  Your suit will transmit your speeds to Hamilton
好吧 无所谓了  Fine whatever
比快更快 我就是速度的化身  Quicker than quick, faster than fast I am speed,
好了 路易吉    各就位  Come on Luigi.    On your Mark
预备 跑  Get set and go
每小时46英里  46 mile per hour
53英里 超出测量范围 超出范围  53 miles.. Out of range out of range. Out of range
怪了  It's odd...
我走不动  I did not go
在沙滩上你得慢慢来  On sands you gotta ease into
点火 轮胎可以抓地 懂了吗    明白  your start or your tires can grab okay?    okay
你每天都和赛车在一起的 不是吗  You do work with race cars don't you
是啊 但从没来过外面  Yeah but never outside
好了 再来一次    出发  All right let's go again    go
每小时54英里    就是这样  54 miles per hour    Here you go
每小时75英里  75 miles per hour
超出范围 超出范围 超出范围  Out of range. Out of range Out of range
抱歉  Sorry
卡住了  Got stuck
再一次  Go again
出发  and go
抱歉  Sorry
出发  Go.
出发  Go.
这沙滩把我吞噬了  The beach ate me
好了 科鲁兹 在这片压实的沙滩上选条道  all right Cruz, pick a line on the compacted sand
没有摩擦力的话会失控的  you gotta have traction or you're gonna spin out
动身吧  let's do this thing
听你号令  on your Mark
开始  you try to go
时速134英里  134 per hour
超出范围 超出范围  out of range. Out of range out of range
又怎么了  now, what!
我不想撞到小螃蟹  I didn't wanna hit a crab
你在开什么玩笑    怎么了嘛 它们那么可爱  you gotta be kidding me.    what! It was cute
好了 开始前最后试一次  alright, one last chance we will try this before we get started
先慢慢转动轮胎紧紧抓地  now, your are gonna pick on slow to let your tires grab
好    然后在紧实的沙滩选条直道以防失控  yes! And pick a straight line on hard sands so you don't spin out
让所有的螃蟹…  and all the cabbies have gone night   night.
麦坤先生  Mr. McQueen
行了 开始吧  all right, let's go again
时速150英里  150 miles per hour
时速175英里  175 miles per hour
时速196英里  196 miles per hour
你终于做到啦  right, finally you made it
恭喜啦 我表现得还行吧  congratulations!, how did I do?
你最高时速才198英里    才198码  You topped out at 198    198 that's it!
还是比风暴慢  Still slower than Storm.
真是浪费了一整天    我不觉得  I wasted my whole day    I wouldn't say that
在这里真正地跑一场比赛感觉棒极了  it did feel great to be out here doing real racing
这才不是真正的比赛 我们在沙滩啊  this aingt real racing we are on a beach
就只能直着跑 我还能怎么快 除非  all you do is go straight. How am I gonna get faster if I don't.
雷暴山谷  Thunder hollow.
雷暴山谷  Thunder hollow
那里有一条泥巴赛道 这才是我需要的  there is a dirt track there, that's what I need
和真正的参赛者比    不行 太暴露了  to race against actual Racers    No... too public...
要是被媒体发现了 他们会蜂拥而上的  If the press find you, they would be like many many bugs on you.
狗仔队    兄弟们 我真的需要这个  Paparazzi... guys, I really need this
这就交给我吧 老大  hey, just leave it to me boss
我可是伪装大师  I am a master of disguise
雷暴山谷  thunder hollow.
完全认不出你了 先生  You sir are officially incognito
不用担心有车骚扰啦  nobody's bothering you
伟大的闪电麦坤  the great Lightning McQueen
我能感觉到 伙计们 今晚我将会东山再起  I can feel it guys, tonight is the night I find my speed.
各位选手 起跑线就位  Racers.. get over to the start lines.
好了 不用跑直线了 老套路来就行  All right, no more straight lines just a good old   fashion
嘿 你俩是外地的吗  hey now, you that out   of   towner
是的  yes that's me
我是查斯特·增压过滤王  Chester whipple filter
我是弗朗西斯·安全带  and I'm Francis beltline
科鲁兹 你在干什么    我是你的教练  Cruz, what are you doing?    I'm your trainer
我会在赛场里记录你的速度  I am gonna track your speed from the infield.
增压过滤王  Whipple filter
行吧 只要你跟得上  fine, just stay all the way
不好意思 先生 其他选手呢  excuse me sir? Where are the other Racers?
他们会跟着的  oh, they'll be along.
我们总会让我们的新选手跑在最前面  But we always let our guest start right up front
欢迎大家来到雷暴山谷赛道  welcome y'all to the thunder hollow speedway
今晚的赛道是  for tonight's edition of
疯狂8号赛道  crazy eight.
他说的是疯狂8号赛道吗  did he say crazy 8?
首先有请我们的踢馆选手  It is time to meet tonight challenger.
来漂移呀  Protect and swerve
科鲁兹 我没想到会这样  Cruz, this isn't what I thought it was
快 跟着我离开这儿  come on, follow me we'll slip out
规则第一条 大门一关就给我比  rule number one: Gate closes you race
等等 不行 我不是选手  wait, no no. I am not a racer
规则第二条 谁撑得最久谁赢  rule number two: Last car standing wins
规则第三条 这么合家欢的日子 不许骂人  and rule number three: No cursing it's family night
先生听我说    等等  excuse me sir    wait,
我只是个教练  no. I am just a trainer
下面有请我们从未战败的疯狂8号选手  and make way for the undefeated crazy 8 champion
毁灭天后 弗里特小姐  the diva of demolition, Miss Fritter
看呐伙计们 我们多了两个新面孔  look here boys, we got us a couple of rookies
我想叫你泥巴王理查德 而你是柠檬汁  I wanna call you muddy Richards and you lemonade
他们身上一道划痕也没有  hey, neither one of them has a single dent
让我来帮你们吧  oh, I am gonna fix that
好了各位  all right, every body
比赛开始  let's go racing.
我要开始大开杀戒啦  I am about to commit a moving violation
科鲁兹  Cruz
你在干嘛 你得动起来  what are you doing? You gotta keep moving
我不该待在这里的  I shouldn't be out here
动起来科鲁兹 快  move Cruz! Move!
我该怎么办 我不会漂移  What do I do? I can't steer
车身右偏 左打方向盘  turn right to go left turn right to go left
我完全不会啊    车身右偏 左打方向盘  that doesn't make any sense    turn right to go left
你好呀 帕蒂    你好呀 灰熊  hey Patty.. Oh, hi bear!
妈妈看呐 我会了  Look mom, I can drive
老天  oh, man.
真是个开车的好日子对吧    离我远点  Nice day for a drive, eh? Hey, buddy get out of my way
我在开车啊  hey, I am driving here.
看我的新帽子  Look at my new hat!
我起飞了 我降落了  I am flying no, I am not flying.
我接住啦  I got it
科鲁兹  Cruz
老兄 动起来啊  ah, buddy move it
车身右偏 左打方向盘  turn right to go left turn right to go left
来啊  come on
坐稳了各位  buckle up everybody
弗里特来了  it's Fritter time.
弗里特 弗里特 弗里特 弗里特  Fritter! Fritter! Fritter! Fritter!
我们爱你 弗里特小姐  We love you Miss Fritter!
科鲁兹  Cruz.
弗里特小姐倒下了  Miss Fritter is down
谁也别想碰他 他是我的  nobody touches him. He is mine
你要完了 增压过滤王  you will get down whipple filter
加油 麦坤 你可以的 加油  Come on, McQueen you can go, come on.
弗里特小姐起不来了 她可不太高兴  Miss Fritter's can get up right folks she is not pleased
你就要体会到  you about to feel the wrath of
乡下小镇校车们同仇敌忾的怒火了  the lower bell bell county unified school desperate
女士们先生们 冠军产生了  ladies and gentlemen we have a winner
弗朗西斯·安全带  Francis beltline
是我吗 是我 我赢了 我赢了  is that me, that's me I won I won
科鲁兹 科鲁兹 不…    小心  Cruz! Cruz! No no no no    watch out...
增压过滤王  Whipple filter
就是闪电麦坤  it's Lightning McQueen
雷暴山谷的观众们还在为  the fans here in thunder hollow still buzzing over
今晚闪电麦坤的意外光临议论不休  tonight's unexpected appearance of Lightning McQueen
他一直是我的最爱  he has always been my favorite
我的车库贴满了他的九十五张海报  my garage is covered from head to toe with 95 posters
那个  so.
奖杯挺不错的 不是吗  Trophies are kind of nice don't you think.
你都赢了几百个了 你当然知道了  I mean I know you got like a billion of them so you would know.
我还是不敢相信我赢了  I still can't believe I won
真闪亮 我从没这么近观察过  it's pretty shiny, I have never seen one up close
看起来他们砸了好多钱在上面 我觉得…  Looks like they spent a lot of money on it I mean I think it's real nut up
别说了 别说了 科鲁兹  stop! Just stop! Okay, Cruz
你根本不明白 一点都不明白  You don't even know you don't even have one clue.
我只是想…  Hey! I was just trying to...
你知道如果我这场输了 会怎么样吗  Do you know what happens if I lose this race
这场旅程都是为了能让我快过杰克逊风暴  Every mile of this trip was to get me faster than Jackson Storm
比他更快  faster.
我开始在模拟器上一点感觉都没有  I start off getting nowhere for a week on a simulator
又在火球海滩和你浪费了一天  I lose a whole day with you on Fireball Beach
今晚又浪费了 然后被弗里特小姐盯上  and then I waste tonight and then a crosshairs for Miss Fritter
我一个月前就卡在这个速度上  I'm stuck in the same speed I was a month ago
一点进步都没有  I can't get any faster
因为我忙着照顾训练我的人  because I'm too busy taking care of my trainer
这是我最后的机会 科鲁兹  This is my last chance Cruz
最后最终最后一次 如果我输了 就再没机会了  last final finito. If I lose, I never get to do this again
如果你是赛车  if you were a racer you'd
你会明白我的话 但你不是  know what I'm talking about but you're not
所以你不明白  so you don't.
麦大叔 停车  Mack! Pull over!
现在    马上  Now!    Now!
好吧 好吧 停车  Okay okay pulling over pulling over
问我有没有梦想着做麦坤的训练师  ask me if I dreamed of being a trainer Mr. McQueen go ahead
快问我 有没有在上学前 每天在黑夜中跑圈  ask me if I got up in the dark to run laps before school every day
问我有没有省吃俭用  ask me if I saved every penny
攒钱去买他们赛车比赛的门票  to buy a ticket to the races when they came to town
问我有没有那样做 好有一天成为一名训练师  ask me if I did that so that I could be a trainer someday ask me.
没有  No!
我想永远成为一名训练师  I wanted to become a racer forever
因为你  because of you.
我过去常常看电视上的你  I used to watch you on TV
飞跃苍穹  flying in the air
你看上去那样  you seemed so
无所畏惧  fearless
梦想别那么远大 科鲁兹  dream small Cruz
我家人过去常常这样说  that's what my family used to say
梦想低调点 或者不去梦想  dream small or not at all
他们只是想保护我  they were just trying to protect me
但我是镇上最快的孩子  but I was the fastest kid
我本打算向他们证明他们错了  in town and I was gonna prove them wrong
发生了什么  What happened
当我第一次参加比赛时  When I got to my first race.
我搞明白了  I figured it out
什么  what
自己并不属于那里  that I didn't belong
其他赛车看上去和我完全不同  the other Racers look nothing like me
他们更大 更强壮 器宇轩昂  they were bigger and stronger and so confident
他们点燃引擎时  and when they started their engines
就那样  that was it.
我知道自己永远成不了赛车  I knew I'd never be a racer.
我就离开了  I just left
那是我唯一一次机会  it was my one shot
我没把握住  and I didn't take it
所以  yeah so uh
我这就回训练中心  I'm gonna head back to the training center
你我都清楚这样最好  I think we both know it's for the best
我能问你一件事吗  but can I ask you something
你是什么感觉  what was it like for you
当你第一次参加比赛时  when you showed up to your first race
你怎么知道自己能做到  how did you know you could do it.
我不知道 我只是从来没想过做不到  I don't know, I just never thought I couldn't
那种感觉一定很不错  it was shiny with that felt like
祝你好运 麦坤先生  good luck Mr. McQueen
科鲁兹  Cruz
科鲁兹 等等  Cruz, wait.
连胜将军 路霸点评  Champion for the ages , Chick Hicks here
在路霸工作室为你现场直播  coming to you live from Chick Hicks studios
今天我们又请到了  where I'm joined once again
新生代赛车专家 娜塔莉·瑟特恩  by next   gen racing expert, Natalie Certain
谢了 路霸 活塞杯冠军杰克逊风暴  thanks Chick, Piston Cup champion Jackson Storm
今天创造了新纪录  set a new record today when
他打破了现存的最快圈速  he pulled off the fastest lap ever recorded.
前所未有的每小时213英里  an unprecedented 213 miles an hour.
你怎么想 瑟特恩  so what do you think Certain.
风暴男孩将以又一冠军开启新赛季  Stormy boy gonna start the season with another win.
很有可能 路霸  highly likely Chick.
根据他的近期速度  based on his recent run times
以及赛车日的预测跟踪温度  and forecasted track temperatures on race day.
风暴赢的概率为95.2％  Storms chances of winning are 95.2 %
那么低吗  that low huh.
也许你没注意到  oh and in case you missed it
今晚的赛道论点是闪电麦坤  talk of the track tonight is Lightning McQueen finding
另一种使自己难堪的办法  yet another way to embarrass himself.
撞车大赛  at a demolition derby whoa.
我差点要为他感到抱歉了 并不  almost makes me feel sorry for the guy. not really.
他的新赞助商会这么说  here's what his new sponsor had to say.
大家放松 95会参加比赛的  everyone relax, the 95 is gonna race.
闪电选了条不寻常的路来参加竞赛  Lightnings just taking a somewhat unconventional approach to this race.
这也是他的粉丝爱他的原因  it's one of the things his fans love about him.
是啊 他真是丢脸  huh yeah right. talk about humiliating.
我甚至懒得去佛罗里达露面  ahow, I won't even bother to show up in Florida.
也许这样最好 路霸  that could be for the best Chick.
即使他参加比赛  even if he does race.
麦坤赢的几率也只有1.2％  McQueen's probability of winning is 1.2 percent.
数字不会说谎 我今晚作出预测  numbers never lie. I'm willing to predict tonight
闪电麦坤的赛车事业一周内就会结束  that Lightning McQueen's racing career will be over within the week.
甚至可能现在就结束了  it might even be over now.
我早就知道他的事业卡在了…  I mean I knew his career was stuck in the...
什么  what's it.
好了 有人打断了天才  there we go, somebody's interrupting genius.
你好 兄弟  well, hey there buddy.
板牙  Mater!
我刚刚还在念叨你 这会你就看着我了  You know I was just thinking of you and here you are looking right at me.
你能看见我吗  you see me okay.
等一下 让我看看 好点了吗  wait a second, let me see here. Is that better?
直接看进了你的眼睛里 伙计  Looking you straight in the eye there pal.
抱歉这么晚打给你  hey sorry about calling so late.
对我来说可不算晚  not for me it's not.
我可是只夜猫子  I'm always burning that midnight oil.
和我说说最近发生了什么吧  so get me caught up on everything.
其实我挺想听听家里发生了什么  well, actually I am kind hope I might hear what's going on back home.
没发生什么 如果不算你  well, not much but if you don't count.
辉哥想运营轮胎店 告诉路易吉不用担心  Sergeant Fillmore trying to run the tire shop but tell Luigi not to worry.
辉哥会找到每个轮胎  Sergeant's gonna track down
即使是被送走的那些  every last tired it fell more done give away.
除此以外一切安好  other than that everything's good.
莎莉怎么样    她挺好的 在旅馆忙着呢  how is Sally?    oh she's fine, keeping busy at the cone.
她很想你  She misses you.
你上路时 我们都很想你  well shoot, we all do when you're on the road..
实际上 我最近一直在想  you know, I've been kind of thinking about that you know what
我不上路时 我们能干什么  what we should do when I'm not on the road anymore.
你说不上路是什么意思  what do you mean not on the road.
你也知道  you know.
板牙 我不可能永远干这个  Mater I can't do this forever.
我的培训没有任何进展  I'm just not getting anywhere with the training.
非要说的话 我也是更慢了  if anything I've gotten slower not faster.
兄弟 这会好起来的  shoot, buddy it'll work out.
告诉我问题是什么  just tell me what your problem is
我会陪着你 直到解决问题  and I'll stay right her with you till we fix it
问题是 我不知道  that's just it Mater... I don't know,
我感觉头脑一片空白  I feel like I'm all out of ideas.
好吧 让我想想  all right, let me think.
你知道我怎么办吗    什么  oh, you know what I'd do?    What?
我不知道 我没办法  I don't know. I got nothing.
遇到这些问题时 我也不是博士  I guess I aingt Doc when it comes to that.
要是能和他谈谈 我愿付出一切  I would give anything to talk to him right now.
然而再也没有比博士更聪明的人了  yep there was nobody smarter than old Doc.
也许除了教了他的人  well except for maybe whoever taught him.
等等 什么  wait, what?
我是说谁都有老师 不是吗  I mean everybody was taught by somebody right.
拿我表亲多特来说  take my cousin dort.
他教了我如何同时唱歌吹口哨  he taught me how to sing and whistled at the same time.
他在那方面非常有音乐天赋  he was very musical that way.
斯莫基  Smokey.
板牙 你太聪明了  Mater! You're brilliant!
秘诀就在于牙齿的形状  Uh well..It's all about shape of your teeth.
我得去托马斯维尔  I gotta go to thomasville.
好的 你知道我的  Oh well good. you know me buddy.
我很愿意帮忙  I'm always happy to help.
对大多数车来说 我都是个更好的父亲…  think I'm better dad to most folks, you know talk...
科鲁兹  hey Cruz.
你无法劝我放弃的 麦坤先生 我要回去了  you won't talk me out of this. Mr. McQueen. I'm going back.
我不做你的助理教练了  I resign as your trainer.
好的 我接受你的辞职 再见  All right, I accept your resignation, bye.
好吧  Uh, okay.
不过既然你没什么安排了  But since you cleared your calendar,
干嘛不跟我们一起去  why don't you come with us.
我在找一个叫斯莫基的车  I'm looking for someone named Smokey.
希望他能帮助我  Hoping he can help me.
或许他也能帮到你    不必  Maybe he can help you too!    Nah.
拜托 我修好了  Come on, I fixed it.
谢了 不过我就不必了  No, thanks anyways, but but I'm done.
好吧 但或许这个会让你改变主意 音乐起  Okay, but maybe this will change your mind, hit it.
让我来舒展舒展这把老骨头  First I'm gonna loosen up these ancient joints.
不 请别这样  No, please don't.
很抱歉 很抱歉我冲你吼了  I'm sorry I'm sorry I'm sorry that I yelled
我差点被害死不是你的错  It wasn't your fault that I almost got killed
住嘴  Stop!
但现在你要离开不跟我们一起走  But now you're leaving and you won't get on the ramp
我去好了吧 别唱了  All right I will go, just stop.
你怎么知道斯莫基会来这里  How do you know Smokey is gonna be here?
我不知道  I don't.
那你知道不知道他是否还活着  Do you know if he's even alive?
不知道    好吧  Nope.    Okay.
那你告诉我  So tell me this.
你如何知道是斯莫基  How do you know if it's Smokey...
等等 麦大叔 停车  Wait, Mack, pull over.
后退一点 后退点  Back it up, back it up!
托马斯维尔赛道 51年冠军超凡哈德森大黄蜂之乡
见到你真好 博士  Good to see you, Doc.
那不是你以前的队长吗  Hey, isn't that your old crew chief?
科鲁兹 你想不想去看  Hey Cruz, do you want to check out
史上最棒赛车的家乡赛道吗  out the home track of the greatest racer ever?
我们不是要找斯莫基吗  Aren't we supposed to be looking for Smokey?
对了 他已经死了  Oh that's right, he is dead.
这可说不准  We don't know that.
你确定还有时间干这个吗  Are you sure you have time for this?
这个我确定  For this, I do.
托马斯维尔
活塞杯
斯莫基车库
这个赛道要是会说话就好了  Wow, if this track could talk.
科鲁兹 怎么样 来一圈吧  Cruz, what do you say, let's take a lap.
太棒了 你做的很棒  Yes, you nailed it.
没有死亡校车想害我们 还是很容易的  Way easy without the school bus of death trying to kill us.
可不是吗  Yeah, no kidding.
我觉得我从未见过你  I've started to think I might never meet you.
斯莫基  Smokey!
他还活着    我知道你为何来这里  He is alive.    I know why you're here.
你渴了  You're thirsty.
这么跟你说  I'll tell you what
见到蓝天家的人 他们会开心死的  these folks are gonna get a kick out meeting Hud's boy.
谁是蓝天？哦 蓝天博士 好吧  Who's Hud? Oh, Doc Hudson, right.
嗨  Hey.
表现好点 有人来了  Act civilized, we got company.
帅哥 欢迎来到托马斯维尔  Hey sugar, welcome to Thomasville.
你看到那边了吗    什么  Would you look at that?    What?
三大赛车传说在那里谈笑风生  Three of the biggest racing legends ever
朱尼尔·午夜月 里弗·斯考特  Jr. Midnight Moon, River Scott,
路易丝·暴风·纳什 她赢过38次  Louise Stormer Nash, she had 38 wins.
我居然亲眼得见 这不是闪电麦坤吗  Well as I live and breathe if it aingt Lightning McQueen.
纳什小姐 很高兴见到你  Miss Nash it's a pleasure to meet you.
你这一年过得不好 对不对  You had a tough year haven't you?
你现在不应该在弗罗里达比赛吗  Shouldn't you be running practice laps in Florida by now?
没错 但是    你来这窃听秘密  Yeah sure bu...    You're here to steal our secrets.
寻找丢失的运气  Looking for you lost mojo.
你们这里说话真直接 是吧  Wow, you don't mince words around here, do you?
说真话总是更直接 孩子  Truth is always quicker, kid.
她真是天使  She's an angle.
虽然不想承认  Don't wanna admit this,
但她之前很爱蓝天  but she used to have serious eyes for Hud.
是吗    就算是也没什么两样  Oh, really?    Even if I did it wouldn't have mattered.
蓝天不喜欢快的女人 所以我就出局了  Hud didn't like fast women and that left me out.
不 路不仅仅是快 她很无畏  No Lou wasn't just fast, she was fearless.
第一次看到机会我就知道自己必须参加  The second I saw my first race I just knew I had to get in there.
当然 当时的负责人不希望  Of course the fellas in charge didn't like the idea
女性赛车在赛道上出现  of a lady racer showing them up,
所以就不给我参赛编号  so they wouldn't let me have a number.
你怎么做的  What did you do?
我偷了一个    什么  I stole one..    What!!
