霍顿与无名氏
耶!  Yeah!
你指的是？  What do you mean?
我不是侦探，不过你挂在吊灯上  Well, I'm no detective, Ned,but you are hanging from the chandelier.
我只是想把它移远一点  I just thought it might look better
免得我们晚上睡觉时被砸到  somewhere it can't fall on us and crush us in our sleep.
到底怎么回事？  What is going on?
老婆  Hey, hon,
你有没有过一种感觉 好像有人盯你看？  did you ever get the feeling that you were being watched?
对啊，我想是有吧  Yeah, sure. I suppose.
要是你知道一直盯着你看的那家伙  And then you get the feeling that maybe that thing watching you is
是只…超大的大象呢？  a giant elephant?
要是有人跟你说你的世界  And you know how you get that weird feeling
居然是在一粒小灰尘上呢？  that your world is actually a tiny speck?
而我刚才提到的那只大象 它把灰尘放一朵花上  And that the elephant that I talked about earlier is carrying it around on a flower.
虽然你很清楚你要是说出来 大家一定会认为你疯了  And you realize that if you tell anybody,they'd think you were crazy.
但你还是觉得 你有责任保障大家的安全  But you still feel a responsibility to keep everyone safe.
你知道那种感觉吗？  You know that feeling?
我想我应该不知道  You know, I'm gonna have to say no.
你知道那种感觉吗？  Do you know that feeling?
才不咧  No.
真累，我想我该上床睡觉了  Yawn. Wow. I am beat.Time to hit the hay, I guess.
亲爱的，我知道你最近压力很大  Sweetheart, I know you're under a lot of stress,
所以就算你看到了大象和几朵花 那也不错啊  and if you're seeing elephants and flowers, then fine.
只是不要把这些事告诉别人  Just don't tell anyone else that story, okay?
别忘了，这并不是世界末日  And remember,it's not the end of the world.
“世界末日”  "The end of the world."
呼叫镇长，听到请回答，完毕  Horton to Mayor. Horton to Mayor.Come in, Mayor. Over.
霍顿？  Horton?
我这里收讯不太好  I get terrible reception here.
这样呢？我用力喊，你听得到吗？  How about this? If I get up real close, can you read me?
有!收到了  Yep! Roger that.
我们到安全的地方了吗？  Are we at that safe place yet?
就快到了 我想最困难的关卡已经过了  Almost. I'm pretty sure the worst part's over.
这是大象霍顿的报告  This is your elephant speaking.
我将带各位前往努尔山 请好好享受这趟旅程  Just sit back, enjoy the ride, and we'll have you to Mount Nool in no time.
不行，不能拿冰淇淋当早餐  No, you can't have ice cream for breakfast.
拜托 拜托  Please. Please.
那是谁？  Who's that?
那里还有别人吗？  Is there someone else there?
那是我太太…还有小孩  Well, that's my wife and kids.
你还有家人  You have a family.
没错，我有个漂亮老婆 九十六个女儿，还有一个儿子  I do, indeed. A beautiful wife,96 daughters, and one son.
你还真行啊  Oh, busy guy.
我们还共用一间厕所，你懂吧  And we all share one bathroom.You know how that is.
当然，共用厕所嘛!  Yeah. Don't I know it.
厕所？  Bathroom?
奈德! 什么？  Ned! What?
亲爱的，你知道你在屋顶上吧？  Sweetheart, you know you're on the roof, right?
拜托，妈妈 什么？  Please, Mom. What's that?
不行，快上床睡觉 爸爸今天精神不好  No, you need to go to bed.Daddy's having a breakdown.
奈德，你现在又怎样了？  Ned, what are you up to now?
我正打算下去哄孩子睡觉  I was just about to put the kids to bed when I got off the roof.
事情就是这样，没错  And that's what happened. Right.
爸爸？什么？  Daddy? Yes.
你能不能帮我倒杯水？没问题  Can I have a glass of water? Of course.
我也要 我也要  Me, too. Me, three.
我也要  Me, 28.
好吧  Okay.
乔乔!  Hey, JoJo!
好多好多杯水啊 还遇见我想要遇见的人  A lot of liquid. A lot of liquid.Just the person I wanted to see.
最近我们父子意见总是相左  Yeah, I realize that we have not been seeing eye  to  eye lately,
大部份都是我不对  and most of it is my fault.
没错  It's true.
我一直都一意孤行  You know what I've been trying to do?
要你照我的想法去规划你的未来  I have been trying to impose my vision of your future on you.
让我好好跟你解释清楚  Let me make this perfectly clear.
乔乔，你想当什么样的镇长都行  JoJo, you can be whatever kind of Mayor you want to be.
积极、稳重、直率 哪一种都行  Hands  on, strong and silent,outspoken, it's up to you.
很好，我感觉好多了  Well, good. I feel so much better.
我期待看到你有所成就，儿子  I am expecting big things from you,young man. Big things.
晚安  All right. Good night.
很好，就这样  Good stuff. Good talk.
接着乔乔溜出去，他孤单又难过  Then JoJo snuck out,feeling lonely and sad,
难过父亲竟然这么不了解自己  and tragically misunderstood by his dad.
他这么晚了要去哪里呢？  And where was he going at such a late hour?
他跑到呼呼镇废弃弃的天文台上头  Up to Whoville's abandoned Star  Studying Tower,
这里让他感到自在又满足  a place where the boy felt contented, free.
这里让他能随心所欲  A place he could be what he wanted to be.
那里头有什么，先让我卖个关子  And what was inside there,I'd say if I could.
But up above, the Kangaroo  was up to no good.
这时在外头  袋鼠妈妈正在进行邪恶的计划
我可以出来吗？  Can I come out now, Mom?
不行，路迪，待在你的房间里  No, Rudy. Stay in your room.
但是… 在里头待好  But, Mom... Stay inside.
维拉考夫先生  Mr. Vladikoff?
吃饭，滚  Eating. Go.
我知道你在吃大餐 但是我需要你帮忙  Yes, I realize you're busy,but I need your help.
那个霍顿  It's Horton.
他最近被一朵苜蓿给迷昏了  He's become obsessed with a clover.
他还幻想那上面有住人  And he actually thinks there are little people on it.
我要你把苜蓿给做了  I want that clover destroyed.
小事，杀鸡需要用牛刀吗？你自己动手吧  Sure. What a big deal this is for you, bro.
我本来想自己动手 但身为贵妇，我才不想弄脏手  I'd do it myself, but being a lady,I prefer not to get my hands dirty.
不过我听说你从不嫌手脏  But I hear you have no problem with that.
对  No.
没问题，简单得很  No problem. Easy peazy.
但那也得看你的诚意  But I will only do this for a price.
最起码要给我一对全新的…  In exchange for a brand new pair of...
不  No.
我要这只小袋鼠  This little kangaroo.
妈!安静，妈咪正在想事情  Mom! Quiet, Rudy. Mommy's thinking it over.
谢了，经过我仔细考虑  Well, thanks, but on second thought,
我还是找猴子军团  I think I'm going to have the Wickersham brothers
帮忙好了  take care of this for me.
很好，找他们，他们人多势众  Yeah, of course, Wickersham.I mean, they're a classy operation.
不!你不能找他们!  You know, they do... Wait! No!You can't go with Wickersham!
不、不、不…这件事让猴子们来处理最适合  No, no, no, the Wickershams would be perfect for this job.
那群笨猴子，连吓都吓不死人  But they're monkeys! Is not scary!
还是谢谢你，下次再说吧  Thanks, anyway. Maybe next time.
等等!  Wait!
我会这样对付那朵苜蓿花  Here is what I will do to precious clover.
先逮住它，然后压扁它  I will take it, I will crush it,
最后再一口吞掉它  and I will devour it.
这比想像的大  Bigger than it look.
等一下!  One second.
我的妈呀!  Holy moly.
先等一等  Hang on.
之后我再把它吐出来  Then I regurgitate it.
然后我会再把它给吞下去!  Then I'm going to devour it second time!
所以总共是吞了两次  So, two times devoured.
听起来不错 但是我想先找猴子们谈谈  Sounds nice, but I think I'll talk to the Wickershams.
等等!  Wait!
现在刚好在做促销  Here is best part.
我愿意…免费奉送  I do all gratis.
这可是免费的  That's free, bro.
你觉得如何？  What do you think?
成交  Deal.
好耶!搞定，感谢你 这次是做口碑的  Yes! Score. Thanking you.You won't regret.
镇长!  Mayor!
镇长!  Mayor!
快开门，镇长先生!  Open up, Mr. Mayor! Mr. Mayor!
下雪了!现在是夏天!  It's snowing! In the summer!
没错，真的下雪了  Yes. Yes, it is.
气候出现戏剧性的变化  It's a dramatic change in the weather,
我们就像一粒空中的小灰尘  as if we were a speck,floating through space.
我不知道你是怎么知道的 但全被你说中了  I don't know how you knew,but somehow you did,
现在呼呼镇即将面临一场大灾难  and Whoville is headed for disaster.
天哪，霍顿  Horton.
什么？  What?
没事，我来处理  Nothing. I'm on it.
该是我们拯救呼呼镇的时候了  It's up to us to save the people of Whoville.
你们虽然还小，但人很多耶!  You're small, but there are a lot of you!
真是的  That's it.
好了，后面还有吗？  Okay, anybody else?
很好  Good.
这不好玩，这是末日的征兆!  No, no. No enjoyment. This is not fun.It is a sign of doom!
亲爱的，真是…  Aw, sweetie, that's...
不!危险!危险!  No, no, no! Danger! Danger!
立刻停止一切玩乐的行为!  Stop having fun immediately!
这样真的很危险!  This is dangerous! Okay!
停止!  Stop it!
霍顿!  Horton!
镇长  Hey, Mayor.
代志大条了啦  We're in big trouble down here.
夏天才过一半居然下雪了  It's happening!It's snowing in the middle of summer.
世界末日到了!  It's the end of the world!
等等，我大概知道问题出在哪里  Hold on, Mayor.I think I know what your problem is.
现在好一点没？  There. That better?
效果还蛮不错的  That seems to have worked.
好像有花生的味道？  Do I smell peanuts?
对，那是我最爱吃的点心 但味道会散不掉  Yeah, they're my favorite snack,but they tend to linger.
鱼宝宝，不!  Finwick, no!
等一下，镇长先生 我想有人来找碴了  Hang on, Mr. Mayor.I may have to put up a fight.
一只受惊的大象是很恐怖的  A frightened elephant can be very dangerous!
这可是你自己找的喔，老兄!  All right!You've called down the thunder, buddy!
想找碴？我可是加足马力了!有种来吧!  You hungry for trouble? I'm an "All you can eat" salad bar! Take a bite!
我讨厌跑步  I hate running.
摩登!  Morton!
不要吓我  Don't do that.
霍顿!  Horton!
霍顿!你在这里!  Horton! There you are!
有麻烦了!你有听说吗？  We got trouble! Wait, stay, wait!Did you hear that?
不，听我说 袋鼠妈妈，已经发疯，脑袋坏了  No, I'm here, okay. Listen. No! Go!Kangaroo has gone nuts, bananas.
她告诉大家要把你踢出努尔森林  She's telling everyone that you should be kicked out of Nool.
她那样说？我还以为我们是朋友  She said that?I thought we were her friends.
听说她去找了维拉!  Word is she's gone to Vlad!
我认识两个维拉  Vlad? Vlad? I know two Vlads.
是那个坏的维拉 还是会烤饼干的兔子维拉？  Is it the bad Vlad or the bunny Vlad that makes the cookies?
她最好是会派兔子送饼干给你  Yeah, Horton, she's sending you a bunny with cookies.
用膝盖想也知道是坏的维拉  I think we can assume it's the bad Vlad.
对，那样才合理  Yeah, that's a good call.
所以除非你能忍受 那双心狠手辣凶残的臭爪子  So unless you're cool with giant, razor  sharp claws
把你的身体撕成碎片…快把花给丢掉吧  ripping the flesh off your body,I'd get rid of the clover!
不可以!我答应过镇长  I can't! I promised the Mayor.
我说到做到…做不到就不说  I meant what I said,and I said what I meant,
我们大象的忠诚度是百分百  and an elephant's faithful, 100%.
拜托，为了我，就这么一次 忠诚度做到九十九分就好了  Please. For me, just this once.Be faithful 99% of the time.
我从来没拿过九十九分 但我还是很棒的!  I've never gotten 99% on anything,and I think I'm awesome! So, come on!
我遵守承诺，一言既出驷马难…  I meant what I said,and I said what I meant.
那我就不追了  I'm not gonna say it.
不过你瞎忙一整天也没用  You can do that all day,it's not happening.
大象的忠诚…  An elephant's faithful, 100%.
没错，那是我的原则、座右铭 谢谢你提醒我  That's right. That's my code, my motto.But thanks for the warning.
座右铭，好吧  Motto. Okay.
但是要留意天上  But watch the skies.
一定要紧盯着天空!  Keep watching the skies!
镇长，快通知所有人躲好  Mayor, you need to get everyone underground.
快!  Now!
我并不想发出警报  I don't want to sound the alarm,
但我们极有可能会遭到一只  but there's a good possibility we may be attacked
大型肉食性鸟类攻击 什么？  by a giant carnivorous bird. What?
也有可能是会遇上送饼干的兔子 但我想机会不大  There's a small chance it could be a bunny with cookies, but I wouldn't count on it.
那真是太可怕了  They are formidable.
镇长，你在吗？  Mayor? Are you there?
在，那真是个好主意，只是…  Yeah. No. That's a great idea. It's just...
如果要让大家动起来 我必须取得镇议会批准  In order to get everyone mobilized,I'd need the okay of the City Council,
但他们从不肯听我说  and they never listen to me.
他们还叫我笨蛋!  I've been called a boob,
叫了好几次，我办不到!  several times. I can't do it!
你必须警告他们，镇长!  You have to talk to them, Mayor! Okay. Listen.
坏的维拉!  Bad Vlad!
坏的维拉!  Bad Vlad!
坏的维拉!  Bad Vlad!
那绝对不是送饼干的兔子  That is definitely not a bunny.
甩掉他了 我想甩掉他，就甩掉他了  Lost him. Meant to lose him,and I lost him. Good.
这树真碍事!  Is this tree for real? Come on!
抓紧了呼呼镇!这下麻烦大了!  Hang on, Whoville! This is gonna get rough!
准备好受死吧!  Now you're going to get it!
让你见识一下高手!  Get ready for the best!
离我远一点!  Leave me alone!
霍顿!  Horton!
他一定会从某个地方跳出来  I just know he's gonna jump out somewhere.
哈啰  Hello.
投降吧  Chess mate.
现在让我把苜蓿花拿过来  Now it's time for me to take clover
毁了上面所有的小小人…  and crush all the little people on it,who are saying...
抱歉，我们先从这里下去了  Sorry. This is where we get off.
鼻子歪了啦!  Right in the beak!
漂亮!我的头脑还真灵光  Cool line. Usually I can't think of those things till later.
镇长 霍顿  Mayor?   Horton.
你没事吧？  Are you okay?
还好，怎么回事？那鸟呢？  Well, more or less. What happened? The bird?
他啊，他居然攻击我 镇长，你的镇民现在有危险  Yeah, it attacked me.Mayor, your people are in danger.
我打算这么做  You know what? I'm gonna do it.
我要告诉大家发生了什么事  I'm going to go out there and tell them what is going on.
太好了!  快，事不宜迟  Perfect. Now, quick. Get going.
镇长先生!不太对劲啊!  Hey! Mr. Mayor! Something's wrong!
我的地下室变成阁楼了  科学博物馆全毁了  My basement's in the attic.  The Science Museum is history.
失物招领处不见了 到底怎么了，镇长先生？  The lost and found is missing. What's going on, Mr. Mayor?
我要宣布进入紧急状态  I'm declaring a state of emergency!
没事的!别担心!  Don't worry! Don't worry!
镇长他只是在耍白痴  The Mayor is just being a moron.
等等，呼呼镇现在非常危险  No, wait! Whoville is in terrible danger!
所有人都该立刻躲进地下室避难  Everyone needs to get down to the underground storage area immediately.
好吧!好吧!  Fine! Fine!
我们就用民主的方式解决  Let's do this democratically.
有谁希望看到呼呼镇 伟大光荣的百年庆  Who wants the joy and glory and festivity
照计划进行？  of the Who  Centennial to proceed as planned?
好耶!  Yeah!
又有谁和镇长一样  And who, like the Mayor,
认为最好能在黑漆漆的地下室里  thinks it would be better to spend the Who  Centennial
度过呼呼镇百年庆呢？  in an underground storage area?
好耶!  Yeah!
等等，大家听我说  Wait! You've gotta listen to me!
我们的世界可能会爆炸毁灭  Our whole world could explode!
比这快多了  Much more quickly!
也不会发出这种怪声  And our world wouldn't make that noise.
人民已经作了决定，镇长先生  The people have spoken, Mr. Mayor.
你已经完蛋了，没有人相信你  You're finished. No one believes you.
也没人支持你  No one supports you.
霍顿就相信我  Horton believes me.
霍顿？  Horton?
谁是霍顿？  Who's Horton?
霍顿是…在天上的一只大象  Horton is a giant elephant in the sky!
不用找了，他是隐形的  Don't bother looking, he's invisible.
他正冒着生命危险拯救我们  And he's the one risking his life to get Whoville,
让落在花朵上小灰尘里的呼呼镇 得到安全  which, by the way,is a speck on a clover, to safety!
我可以证明  I can prove it!
霍顿的声音会从这喇叭传出来  Horton's voice comes out of this horn.
霍顿!  Horton!
我已召集所有人民到广场集合  I have all the Whos gathered in town square!
让他们听听你的声音  Let them know you're there!
天，原来当公众人物压力这么大  Gee. This is kind of a high  pressure situation, then.
我还真不知道该说什么  Wow. I am really drawing a blank here.
我知道了  I know!
霍顿  Horton!
霍顿，快点啊!  Horton, we're waiting!
是时候该向大家证明你的存在  Time to show everyone that you exist,
顺便说明白…我绝对不是笨蛋  and by extension, what a non  boob I am.
等等!  Wait!
大家看那个风 你们以为那代表了什么？  Everyone, look at the wind.What do you think that that means?
那是代表…  It means...
那很明显地是代表…  It means, obviously...
放风筝大赛现在开始  Let the kite  flying race begin!
看看你有多丢脸，霍顿  What a burn on you, Horton!
啊…有够冰的  Brain freeze.
把花还给我  Give me back my speck!
就差一点，可惜  Not this time, guy.
我真的很抱歉让你失望 但是这比我自己重要多了  I am so sorry that I let you down,but this... This is bigger than me.
带孩子们找个安全的地方躲好  Get the family together and get somewhere safe.
我会的!我相信你  I will! I believe you.
这下看你怎么玩，大笨象  I've got you now, elephant.
不要丢…不要!  No, no, no!
不  Oh, no!
镇长？  Mayor?
有人在家吗？  Anybody there?
哈啰？  Hello?
有人吗？  Anyone?
霍顿他找过了一朵又一朵  But clover by clover by clover, he found
却怎么也找不到他要找的那一朵  that the one he sought for was just not around.
镇长？  Mayor?
哈啰？  Hello?
直到中午，可怜的霍顿精疲力尽  And by noon, poor Horton,more dead than alive,
他找过的九千零五朵花 已堆成许多花堆  had picked, searched and piled up 9,005.
哈啰？  Hello?
抱歉打扰到你了  Sorry to bother you,
没人  nobody.
敲敲门  Knock, knock.
这时候你该说 系“象”啦？  This is where you'd say, "Who's there?"
如果你在的话  If there were any Whos there.
听懂没？系“象”啦!  Get it? "Whos there."
他整天不停的找  All day he looked, looked on and on,
直到他已几乎放弃希望  until his hope was almost gone.
不…拜托，不要!  No, no, no! Please, no!
这样不公平啦!  This isn't fair!
等一下，难道会是这一朵吗？  But, wait, could this one be the one?
他千辛万苦要找的就是这朵？  Was all his searching finally done?
是的，皇天不负苦心人  Ah, yes, for this was the hour.
霍顿终于找到了 就在这三百多万朵花之中  Horton had found them on the three millionth flower.
镇长!镇长!  Mayor! Mayor!
我找到你了!  I found you!
镇长？  Mayor?
你在吗？  Are you there?
镇长？  Mayor?
镇长  Mayor.
镇长？  Mayor, are you there?
镇长？  Mayor!
镇长？  Mayor?
镇长？  Mayor?
镇长!  Mayor!
不，我是佛洛德  No, this is Floyd.
你要留话吗？  Can I take a message?
镇长!你没事了!  Mayor! You're okay!
霍顿!别乱动!停下来!  Horton! Horton! Stop! Stop it!
抱歉  Sorry.
你们下面刚刚一定很惨 真高兴你们没事  It must have been rough down there.I can't believe I found you.
我都快担心死了  You really had me worried.
老天!镇长先生是对的!  Say! The Mayor was right!
爸爸!爸爸!爸爸!  Daddy! Daddy! Daddy!
好了，我没事了  宝贝女儿你们也是  Okay, I'm all right, and so are you.
呼呼镇的镇民们!  Citizens of Whoville!
见过我们的朋友霍顿  I'd like you to meet our friend Horton.
他会帮助我们  He's going to help us!
交给我吧  I've got this.
我是议会主席…  This is the Chairman...
白痴!  Idiot!
你完蛋了!听见没？废弃物!  You're finished in this town!Is that understood? Finished.
大笨蛋!  You boob!
跟你开玩笑的啦  I'm just joking.
很好笑  Good one.
霍顿，这位是我太太，莎莉  Horton, this is my wife Sally.
你真的存在!  You exist!
这就表示我的老公没发疯  This means my husband isn't crazy.
好耶!  Hooray!
还有我几个女儿…海莉、荷莉、胡莉、海达和海蒂  And a few of my daughters,Haley, Holly, Hooly, Hilda and Hedy.
你好  你好  Hi!   Hi!
还有叶波小姐，我最得力的助手  And here is Miss Yelp, my loyal assistant.
接着是拉鲁博士 你救了我们!  And here's Dr. Larue. You saved us!
会计部的伯特  And Burt from accounting,
梅洁莉寇迪太太和法福根先生  and Mrs. McGillicuddy, and Mr. Farfoogan
他来自克鲁格法福根  from the Clugan Farfoogans,
还有在浴缸泡澡的老头  and the old man in the bathtub.
别折磨他了  Let's not overwhelm the poor fellow.
他不可能记得所有名字的  He's never gonna remember all these names.
我尽量试试看  Well, I'll try my best.
莎莉、主席  Sally, Chairman,
海莉、胡莉、荷莉…叶波小姐  Haley, Hooly, Holly, Hilda,Hedy, Miss Yelp,
拉鲁博士、会计部的伯特 梅洁莉寇迪太太、法福根先生  Dr. Larue, Burt from accounting,Mrs. McGillicuddy, Mr. Farfoogan
是不是有个老头在洗澡？  of the Clugan Farfoogans,and wasn't there an old guy in a shower?
泡澡  Bathtub.
噢，差一点!  我们全都在这里，霍顿  Yeah!  We're all here, Horton,
还有…我们全都相信你  and we all believe in you.
那真是太棒了  Wow. That's awesome.
我对于你们的承诺绝对不打折  And it's a responsibility I do not take lightly.
我保证你们会有一个 安稳又健全的未来  I promise you a future  that is safe, sound and stable.
我们要开创一个世界 让大家都有国民年金跟老农津贴  We will create a world where every Who is endowed with three inalienable rights,
这是我们接下来必须做的  to be determined at a later date.
我们要把这粒小小的灰尘 在十年之内放到努尔山上去  And we will put a speck on Mount Nool before the end of this decade.
这只大象疯了!我的老天爷  This elephant is crazy! Oh, my goodness.
我得告诉大家，我要找袋鼠妈妈  I gotta tell everybody.I need to get to the Kangaroo.
等到他们发现就…  Wait till they find out about...
你该看看当时我有多猛 我狠狠教训了那只大象  You should have been seeing me.I really let elephant have it.
我追击他、折磨他 把那只大象撕烂成几百万个碎片  I chase him, I torment him, I break him into million little elephant pieces.
我这次干得漂亮，真的 最俐落的一次，维拉代表作  It was thing of beauty, really.My best work. Classic Vlad.
那朵苜蓿花呢？  And the clover?
它早毁了!霍顿别想找到它!  Clover is finished! No way in million years Horton find it.
读我的鸟嘴，苜蓿花已经彻底完蛋了  Read my beak. Clover is gone forever.
我刚看到霍顿还在跟那朵花说话  I just saw Horton,and he is still talking to that clover!
大饭桶!  Idiot!
我是你兄弟，你谈心的好对象 我们都是老朋友了  Whoa! Come on, I'm your bro!It's me you're talking to. We have history!
别忘了这一切还是免费服务  Come on, let's not forget,I did this for free!
努尔森林到底出了什么问题？  What is happening to the jungle of Nool?
这里以往都是居民归居民  There once was a time when people were people
小灰尘归小灰尘  and specks were specks.
那看不到、听不到或感觉不到的  Well, I say, "If you can't see it,hear it or feel it,
根本就不存在!  "it doesn't exist!"
我们的生活模式正受到破坏  Our way of life is under attack!
这是谁造成的？霍顿!  And who is leading that attack? Horton!
哗!哗!哗!  Whoa! Whoa! Whoa!
先等一等!现在说的是霍顿吗？  Wait a minute!This is Horton we're talking about.
我们都认识他，他连屁都不乱放  You all know him, he wouldn't hurt a fly.
除了那次把学生熏昏之外 但他绝对不是故意的  Except for that fly city he sat on.But he didn't do that on purpose.
闭嘴，臭老鼠!  Shut up, mouse!
当我没说，我的蛋糕快烤焦了 我该闪 了  That's weird. My brownies are burning.I gotta go!
我们真的要让霍顿这个惹祸精 毒害孩子们的心灵吗？  Are we going to let troublemakers like Horton poison the minds of our children?
孩子是无辜的!  Not the children!
当霍顿告诉孩子们 关于丛林以外的世界  When Horton tells our children about worlds beyond the jungle,
就是在质疑家长的权威  he makes them question authority!
导致孩子们的叛逆 导致社会陷入混乱  Which leads to defiance! Which leads to anarchy!
没错，霍顿要付出代价!  Yeah! Horton must pay!
都是小灰尘惹的祸  It's that speck!
我们必须采取行动  We have to do something!
为了孩子们!  For the children!
为了孩子们!  For the children!
我们要让他就此逍遥法外吗？  Are we going to let him get away with this?
不  No!
我们去抓他  Let's go!
摩登!我说过，大象最讲信用!  Morton! I told you! 100%!
霍顿!  Horton!
摩登，脚步声轻一点，真是的  Morton, pick up your feet! Jeez.
我没那么重!  It's not me!
我知道了，是一群暴民 抱歉，摩登  I see. It's an angry mob. Sorry, Morton.
我还以为是你…  I thought it was you that was making all the...
不过这个…  But it's...
天啊  Oh, darn.
霍顿，快跑  Run, Horton!
他在那里!  There he is!
把他绑起来!  Let's rope him!
把他关起来!  Let's cage him!
不!不!不!  No! No! No!
停!  Stop!
各位，大家好  Hey, fellas. Good to see you,
全都到齐了  all at once.
你们还真声势浩大啊  You look really great as a horde.
霍顿、霍顿、霍顿  Horton, Horton, Horton,
看你为自己制造了多大的麻烦  look at the mess you've created for yourself.
全都是为了那朵小蠢花  All this hullabaloo over a silly little flower.
是一粒灰尘  It's a speck.
随便，这真是笨透了这蠢东西害你被五花大绑  Right. I mean, it's silly, really,all this talk of roping you,
还要被关起来…不用说那么清楚  and caging you, and, well,we don't need to go into the details.
重点是，这群愤怒的群众 还有你制造的一切麻烦  The point is, this angry mob,all the trouble you're in,
全都能一笔勾消  it can all go away.
真的？  当然啰  Really? Of course.
你只需要向大家认错 承认那粒小小的灰尘上  All you have to do is admit to everyone that there are no little people
并没有住人  living on that speck.
承认你是错的，而我是对的  That you were wrong and I was right.
照我说的去做，一切就能回归正轨  You do that and things can go right back to the way they were.
但如果你不肯，你就准备付出代价吧  But if you don't, you're going to have to pay the price.
只要说一切都是假的就行了？  So, I just have to say it isn't true?
动手吧，绑我、关我  你们想怎样都行  Go ahead. Rope me, cage me.  Do whatever you want.
但是灰尘上真的有住人  But there are people on this speck.
他们还有镇长，他有96个女儿 和一个叫乔乔的儿子  And they have a Mayor, who has 96 daughters and one son named JoJo,
他们共用一间厕所…管它是什么  who all share a bathroom,whatever that is,
虽然你们听不到也看不到他们  and even though you can't hear or see them at all,
万物生而平等，不论他们有多渺小  a person's a person, no matter how small.
说得可真动听，霍顿  That was beautiful, Horton.
绑住他!关起来!  Rope him! Cage him!
把那粒蠢灰尘丢到滚烫的热油里去  And burn that speck in a pot of boiling Beezlenut oil!
他们不相信我们在这里  They don't believe we're here.
我们必须制造点声音!  We've got to make some noise!
我们在这、我们在这、我们在这  We are here! We are here! We are here!
我们在这、我们在这  We are here! We are here! We are here!
我们在这  We are here! We are here! We are here!
大声叫!  Come on!
大家一起叫! 我们在这!我们在这!我们在这!  Everybody! We are here! We are here! We are here!
我们在这!我们在这!我们在这!  We are here! We are here! We are here!
这次教训是要告诉你 不要编那种灰尘上有人的故事  This will teach you not to make up stories about people on specks!
你们听!他们在这里!  Listen! There they are!
绑住他 关起来  Rope him. Cage him!
声音还不够大  It's not working.
我听得到，但他们听力不够好  I can hear you,but their ears aren't strong enough.
我们必须大声一点  We need to be louder!
大家都来制造噪音，一起来!  Get every Who to make noise! Everyone!
我们在这!我们在这!我们在这!  We are here! We are here! We are here!
乔乔!你要去哪里？  JoJo! Where are you going?
我们需要所有人的声音!乔乔!  We need every voice! JoJo!
声音必须再大一点 不然我们都完了!  You need to make some noise down there,or we'll all be destroyed!
镇长抓起了一对鼓槌 开始用力的打起来  The Mayor grabbed a tom  tom and started to smack it,
呼呼镇上上下下 全都卯足全力呼喊  and all over Whoville,they whooped up a racket.
他们拿出锡锅、敲打黄铜平底锅  They rattled tin kettles! They beat on brass pans!
脚踩垃圾桶和破铁罐  On garbage pail tops and old cranberry cans!
他们吹奏低音喇叭和大喇叭  They blew on bazookas and blasted great toots.
还有竖笛、巴松和长笛  On clarinets, oompahs,and boompahs, and flutes!
霍顿!  There!
他们现在听得到吗？  Can they hear us now?
快听啊，求求你们 这是我听过最美妙的声音  Listen, please.It's the most beautiful thing ever.
我什么也没听到  I don't hear nothing!
我想是没听到，继续试下去  I don't think so. But keep trying.
我绝对不放弃  I'll never give in!
你确定每个呼呼镇民 都有尽力制造声音吗？  Are you sure that every Who down in Whoville is trying?
我们在这!我们在这…  We are here! We are here!
乔乔人呢？  Where's JoJo?
大概又跑到旧天文台去了  Probably at the old observatory.
不要太过份了  Hey! There's a limit!
我的鼻子弹性没那么好  That's not supposed to stretch that far!
乔乔!  JoJo!
这些是你做的？  You built this?
我们在这!我们在这!我们在这!  We are here! We are here! We are here!
我们在这!我们在这!  We are here! We are here! We are here!
我们在这!我们在这!我们在这!  We are here! We are here! We are here!
你大错特错了  You're making a mistake.
但是，妈!  But, Mom!
这不干你的事，回你房间去!  This doesn't concern you, sweetie.Back in your pouch!
大家注意!别停!  Everybody! Don't stop!
大家继续，这次一定有用!  Keep going! This is gonna do it!
我们在这!我们在这!我们在这!  We are here! We are here! We are here!
他们听到没？  Can they hear?
没!  No!
不管最后结果如何 你都是我最棒的儿子  No matter what happens,I couldn't ask for a better son.
乔乔!  Hey, JoJo!
继续，不要放弃!  Come on! Keep going!
不!  No!
我在这里!我在这里!我在这里!…  We are here! We are here! We are here!
不!  No!
唷!  Yopp!
我们在这!我们在这!我们在这!  We are here! We are here! We are here!
我听到了!我听到了!  I hear it! I hear it!
他们在那里!  They are there!
而那一声呼喊 那一声小小的呼喊冲破天际  And that Yopp,that one small extra Yopp put it over,
所有呼呼族的声音从花上传出来  and all the Who noises burst out of the clover.
我听到了 我也是  I hear it! Me, too!
儿子，把花给我!拿来…  Rudy. Give me that! Come...
儿子，快回到袋子里，听话  Rudy. Get back in the pouch. Now!
不要，妈  No, Mom.
猴子们，把那朵花拿来  Wickershams! Get that clover!
谁都可以!把花拿过来!  Anybody! Take it from him!
你成功了，镇长，你成功了  You did it, Mayor. You did it.
我们成功了!  We did it!
耶!  Yeah!
干得好，儿子  Well done, son.
干的好，镇长  All right, Mayor!
老爸，你进入名人堂了  Dad, you're one of the greats!
大家别激动，慢慢来  Whoa. Easy, everyone! Easy!
你好，维拉  Hi, Vlad.
其实我在减肥，管他的  Well, I shouldn't, but...
这一刻可真感人  Oh, man, that is nice touch.
我想我太感动了，对吗？我太情绪化，眼泪要决堤了  I am a mess with this, right? Emotional! Here come the waterslide.
